"","Participant.Private.ID","Experiment.Version","response-27-1","response-27-text","response-29-1","response-29-text","response-33","response-35","response-36","response-37","response-38","response-32-1-1","response-32-1-1-quantised","response-32-1-2","response-32-1-2-quantised","response-39","response-41","response-42","response-43","response-44","response-100","END QUESTIONNAIRE","response-32-2-2","response-32-2-2-quantised","response-32-1-3","response-32-1-3-quantised","response-27-other","response-32-2-1","response-32-2-1-quantised","response-32-2-4","response-32-2-4-quantised","response-32-3-4","response-32-3-4-quantised","response-32-4-4","response-32-4-4-quantised","response-32-5-4","response-32-5-4-quantised","response-29-other","response-32-3-2","response-32-3-2-quantised","response-32-5-3","response-32-5-3-quantised","response-32-3-1","response-32-3-1-quantised","response-32-4-1","response-32-4-1-quantised","response-32-2-3","response-32-2-3-quantised","response-32-4-2","response-32-4-2-quantised","response-32-1-4","response-32-1-4-quantised","response-32-3-3","response-32-3-3-quantised"
"1",3570726,1,"Yes","","No","","English","","","","","Home","1","School","2","0","","","","","","46350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",3575028,1,"Yes","","No","","English","N/A","N/A","N/A ","N/A","Home","1","School","2","0","N/A","N/A","N/A","N/A","N/A","79454",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3576729,1,"Yes","","No","","english","french","","","","Home","1",NA,NA,"0","9","","","","","87621","School","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",3578737,1,"Yes","","No","","English","N/A","N/A","N/A","N/A","Home","1",NA,NA,"0","","","","","","79243",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",3579182,1,"Yes","","No","","English ","","","","","Home","1","School","2","0","","","","","","32432",NA,NA,"Community","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",3580184,1,NA,"Botswana, 2010","No","","English","Serbian","","","","Home","1","School","2","0","4","","","","","75793",NA,NA,"Community","3","No: if so, where were you born and when did you move to the UK (if applicable)?","Home","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",3581730,1,"Yes","","No","","English","N/A","N/A","N/A","N/A","Home","1",NA,NA,"0","N/A","N/A","N/A","N/A","","45433",NA,NA,NA,NA,NA,NA,NA,"Other","4","Other","4","Other","4","Other","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",3584328,2,"Yes","","No","","english","french","","","","Home","1",NA,NA,"0","4","","","","","61244","School","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",3585768,2,NA,"Greece and i moved to the UK at 17.",NA,"Greece (home country)","Greek","English","French","Spanish","Italian","Home","1","School","2","0","6","6","22","18","15","176040","School","2","Community","3","No: if so, where were you born and when did you move to the UK (if applicable)?",NA,NA,"Other","4","Other","4","Other","4",NA,NA,"Yes: if so, where and from what age?","School","2","Community","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",3594093,2,NA,"Cyprus, Moved to the UK September 2020","No","","Greek","Cypriot- Greek Dialect","English","Armenian","N/A","Home","1","School","2","0","0","0","0","","6 years old","252121","School","2",NA,NA,"No: if so, where were you born and when did you move to the UK (if applicable)?","Home","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"School","2",NA,NA,"Home","1","Home","1",NA,NA,NA,NA,NA,NA,NA,NA
"11",3596646,2,"Yes","","No","","English","N/A","N/A","N/A","N/A","Home","1",NA,NA,"0","N/A","N/A","N/A","N/A","N/A","62456",NA,NA,NA,NA,NA,NA,NA,"Other","4","Other","4","Other","4","Other","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",3608641,2,"Yes","","No","","English","Arabic","Spanish","","","Home","1",NA,NA,"0","0","11","","","0","42841",NA,NA,NA,NA,NA,"Home","1",NA,NA,"Other","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
