"","Participant.Private.ID","Experiment.Version","number of languages","number of languages-quantised","number of languages-text","Fluency L1","Fluency L1-quantised","Fluency L2","L3 fluency","age bilingual","age bilingual-quantised","%english childhood","Language spoken in childhood other","Percent English daily life","other language daily life","years away","years away-quantised","current language use","current language use-quantised","home dual-language1","home dual-language1-quantised","home dual-language2","home dual-language2-quantised","home dual-language3","home dual-language3-quantised","home dual-language4","home dual-language4-quantised","work dual-language","work dual-language-quantised","work dual-language2","work dual-language2-quantised","work dual-language3","work dual-language3-quantised","response-5","response-5-quantised","socialisation dual-language","socialisation dual-language-quantised","socialisation dual-language2","socialisation dual-language2-quantised","socialisation dual-language3","socialisation dual-language3-quantised","socialisation dual-language4","socialisation dual-language4-quantised","END QUESTIONNAIRE","Fluency L2-quantised","L3 fluency-quantised","bilingual"
"1",3570726,1,"1","1","","5","5","","","N/A","1","100","0","100","0","0","1","primarily one language","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","101884",NA,NA,0
"2",3575028,1,"1","1","","5","5","","",NA,"1","100","0","100","0","0","1","primarily one language","1","1","1","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","1","1","1","1","107585",NA,NA,0
"3",3576729,1,"2","2","","5","5","3","","18","20","100","0","100","0","0","1","primarily one language","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","115578","3",NA,1
"4",3578737,1,"1","1","","5","5","1","","N/A","1","100","0","100","100","0","1","primarily one language","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","152299","1",NA,0
"5",3579182,1,"1","1","","5","5","","","N/A","1","100","10","100","10","0","1","primarily one language","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","94358",NA,NA,0
"6",3580184,1,"1","1","","5","5","1","","N/A","1","99","1","100","0","0","1","primarily one language","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","169957","1",NA,0
"7",3581730,1,"1","1","","5","5","","","N/A","1","100","0","100","0","0","1","primarily one language","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","55460",NA,NA,0
"8",3584328,2,"1","1","","5","5","1","","N/A","1","100","10","100","6","0","1","primarily one language","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","152534","1",NA,0
"9",3585768,2,"3+","3","","5","5","5","3","17","19","4","100","85","86","5-6","4","use two (+) languages but in different settings (i.e. one on the phone with my grandparents and one with work)","2","1","1","4","4","1","1","1","1","1","1","1","1","1","1","1","1","4","4","3","3","2","2","1","1","397642","5","3",1
"10",3594093,2,"3+","3","","5","5","5","4","birth","2","70","90","60","100","1-2","2","use two (+) languages but in different settings (i.e. one on the phone with my grandparents and one with work)","2","3","3","4","4","4","4","5","5","1","1","1","1","1","1","1","1","3","3","2","2","2","2","4","4","218780","5","4",1
