Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1626773011034,20/07/2021 09:23:31,1626773009902,1,20/07/2021 10:23:29,56184,5,questionnaire-sifi,,14462633,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Participant questions,3,No,BEGIN QUESTIONNAIRE,
2,1626773124619,20/07/2021 09:25:24,1626773123524,1,20/07/2021 10:25:23,56184,5,questionnaire-sifi,,14462633,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Participant questions,3,No,musical training,1
3,1626773124696,20/07/2021 09:25:24,1626773123526,1,20/07/2021 10:25:23,56184,5,questionnaire-sifi,,14462633,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Participant questions,3,No,musical training-quantised,2
4,1626773124696,20/07/2021 09:25:24,1626773123526,1,20/07/2021 10:25:23,56184,5,questionnaire-sifi,,14462633,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Participant questions,3,No,musical instrument,Hardly ever
5,1626773124696,20/07/2021 09:25:24,1626773123526,1,20/07/2021 10:25:23,56184,5,questionnaire-sifi,,14462633,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Participant questions,3,No,musical instrument-quantised,5
6,1626773124696,20/07/2021 09:25:24,1626773123527,1,20/07/2021 10:25:23,56184,5,questionnaire-sifi,,14462633,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Participant questions,3,No,multitask,2 times a week
7,1626773124696,20/07/2021 09:25:24,1626773123528,1,20/07/2021 10:25:23,56184,5,questionnaire-sifi,,14462633,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Participant questions,3,No,multitask-quantised,2
8,1626773124696,20/07/2021 09:25:24,1626773123528,1,20/07/2021 10:25:23,56184,5,questionnaire-sifi,,14462633,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Participant questions,3,No,sport,2 times a week
9,1626773124696,20/07/2021 09:25:24,1626773123528,1,20/07/2021 10:25:23,56184,5,questionnaire-sifi,,14462633,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Participant questions,3,No,sport-quantised,2
10,1626773124696,20/07/2021 09:25:24,1626773123528,1,20/07/2021 10:25:23,56184,5,questionnaire-sifi,,14462633,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Participant questions,3,No,team sports,I am below average
11,1626773124696,20/07/2021 09:25:24,1626773123528,1,20/07/2021 10:25:23,56184,5,questionnaire-sifi,,14462633,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Participant questions,3,No,team sports-quantised,2
12,1626773124696,20/07/2021 09:25:24,1626773123529,1,20/07/2021 10:25:23,56184,5,questionnaire-sifi,,14462633,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Participant questions,3,No,mindfulness,Quite often
13,1626773124696,20/07/2021 09:25:24,1626773123529,1,20/07/2021 10:25:23,56184,5,questionnaire-sifi,,14462633,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Participant questions,3,No,mindfulness-quantised,4
