Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1638892600183,07/12/2021 15:56:40,1638892600101,0,07/12/2021 15:56:40,71111,3,questionnaire-g8rn,,17820202,73603,5257895,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1536x864,1536x722,,Language and Social Background Questionnaire,1,No,BEGIN QUESTIONNAIRE,
2,1638892942039,07/12/2021 16:02:22,1638892941891,0,07/12/2021 16:02:21,71111,3,questionnaire-g8rn,,17820202,73603,5257895,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1536x864,1519x722,,Language and Social Background Questionnaire,1,No,response-2-2,Female
3,1638892942118,07/12/2021 16:02:22,1638892941910,0,07/12/2021 16:02:21,71111,3,questionnaire-g8rn,,17820202,73603,5257895,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1536x864,1519x722,,Language and Social Background Questionnaire,1,No,response-3,full time
4,1638892942118,07/12/2021 16:02:22,1638892941910,0,07/12/2021 16:02:21,71111,3,questionnaire-g8rn,,17820202,73603,5257895,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1536x864,1519x722,,Language and Social Background Questionnaire,1,No,response-4-2,Right
5,1638892942118,07/12/2021 16:02:22,1638892941911,0,07/12/2021 16:02:21,71111,3,questionnaire-g8rn,,17820202,73603,5257895,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1536x864,1519x722,,Language and Social Background Questionnaire,1,No,DOB-day,3
6,1638892942118,07/12/2021 16:02:22,1638892941911,0,07/12/2021 16:02:21,71111,3,questionnaire-g8rn,,17820202,73603,5257895,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1536x864,1519x722,,Language and Social Background Questionnaire,1,No,DOB-month,8
7,1638892942118,07/12/2021 16:02:22,1638892941911,0,07/12/2021 16:02:21,71111,3,questionnaire-g8rn,,17820202,73603,5257895,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1536x864,1519x722,,Language and Social Background Questionnaire,1,No,DOB-year,19
8,1638892942118,07/12/2021 16:02:22,1638892941911,0,07/12/2021 16:02:21,71111,3,questionnaire-g8rn,,17820202,73603,5257895,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1536x864,1519x722,,Language and Social Background Questionnaire,1,No,response-6-1,No
9,1638892942118,07/12/2021 16:02:22,1638892941912,0,07/12/2021 16:02:21,71111,3,questionnaire-g8rn,,17820202,73603,5257895,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1536x864,1519x722,,Language and Social Background Questionnaire,1,No,response-6-text,
10,1638892942118,07/12/2021 16:02:22,1638892941912,0,07/12/2021 16:02:21,71111,3,questionnaire-g8rn,,17820202,73603,5257895,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1536x864,1519x722,,Language and Social Background Questionnaire,1,No,response-7-1,No
11,1638892942118,07/12/2021 16:02:22,1638892941913,0,07/12/2021 16:02:21,71111,3,questionnaire-g8rn,,17820202,73603,5257895,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1536x864,1519x722,,Language and Social Background Questionnaire,1,No,response-7-text,
12,1638892942118,07/12/2021 16:02:22,1638892941913,0,07/12/2021 16:02:21,71111,3,questionnaire-g8rn,,17820202,73603,5257895,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1536x864,1519x722,,Language and Social Background Questionnaire,1,No,response-9-1,No
13,1638892942118,07/12/2021 16:02:22,1638892941913,0,07/12/2021 16:02:21,71111,3,questionnaire-g8rn,,17820202,73603,5257895,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1536x864,1519x722,,Language and Social Background Questionnaire,1,No,response-9-text,
14,1638892942118,07/12/2021 16:02:22,1638892941913,0,07/12/2021 16:02:21,71111,3,questionnaire-g8rn,,17820202,73603,5257895,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1536x864,1519x722,,Language and Social Background Questionnaire,1,No,response-11-2,No
15,1638892942118,07/12/2021 16:02:22,1638892941914,0,07/12/2021 16:02:21,71111,3,questionnaire-g8rn,,17820202,73603,5257895,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1536x864,1519x722,,Language and Social Background Questionnaire,1,No,response-13-1,No
16,1638892942118,07/12/2021 16:02:22,1638892941914,0,07/12/2021 16:02:21,71111,3,questionnaire-g8rn,,17820202,73603,5257895,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1536x864,1519x722,,Language and Social Background Questionnaire,1,No,response-13-text,
17,1638892942118,07/12/2021 16:02:22,1638892941914,0,07/12/2021 16:02:21,71111,3,questionnaire-g8rn,,17820202,73603,5257895,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1536x864,1519x722,,Language and Social Background Questionnaire,1,No,response-14-1,No
18,1638892942118,07/12/2021 16:02:22,1638892941914,0,07/12/2021 16:02:21,71111,3,questionnaire-g8rn,,17820202,73603,5257895,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1536x864,1519x722,,Language and Social Background Questionnaire,1,No,response-14-text,
19,1638892942118,07/12/2021 16:02:22,1638892941914,0,07/12/2021 16:02:21,71111,3,questionnaire-g8rn,,17820202,73603,5257895,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1536x864,1519x722,,Language and Social Background Questionnaire,1,No,response-15-1,No
20,1638892942118,07/12/2021 16:02:22,1638892941914,0,07/12/2021 16:02:21,71111,3,questionnaire-g8rn,,17820202,73603,5257895,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1536x864,1519x722,,Language and Social Background Questionnaire,1,No,response-15-text,
21,1638892942118,07/12/2021 16:02:22,1638892941915,0,07/12/2021 16:02:21,71111,3,questionnaire-g8rn,,17820202,73603,5257895,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1536x864,1519x722,,Language and Social Background Questionnaire,1,No,response-17-4,Post-secondary degree or diploma
22,1638892942118,07/12/2021 16:02:22,1638892941915,0,07/12/2021 16:02:21,71111,3,questionnaire-g8rn,,17820202,73603,5257895,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1536x864,1519x722,,Language and Social Background Questionnaire,1,No,response-18,Social Media Manager
23,1638892942179,07/12/2021 16:02:22,1638892941915,0,07/12/2021 16:02:21,71111,3,questionnaire-g8rn,,17820202,73603,5257895,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1536x864,1519x722,,Language and Social Background Questionnaire,1,No,response-19,English
24,1638892942179,07/12/2021 16:02:22,1638892941915,0,07/12/2021 16:02:21,71111,3,questionnaire-g8rn,,17820202,73603,5257895,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1536x864,1519x722,,Language and Social Background Questionnaire,1,No,response-20,N/A
25,1638892942179,07/12/2021 16:02:22,1638892941915,0,07/12/2021 16:02:21,71111,3,questionnaire-g8rn,,17820202,73603,5257895,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1536x864,1519x722,,Language and Social Background Questionnaire,1,No,response-21,N/A
26,1638892942179,07/12/2021 16:02:22,1638892941915,0,07/12/2021 16:02:21,71111,3,questionnaire-g8rn,,17820202,73603,5257895,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1536x864,1519x722,,Language and Social Background Questionnaire,1,No,response-22-4,Post-secondary degree or diploma
27,1638892942179,07/12/2021 16:02:22,1638892941916,0,07/12/2021 16:02:21,71111,3,questionnaire-g8rn,,17820202,73603,5257895,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1536x864,1519x722,,Language and Social Background Questionnaire,1,No,response-23,Author 
28,1638892942179,07/12/2021 16:02:22,1638892941916,0,07/12/2021 16:02:21,71111,3,questionnaire-g8rn,,17820202,73603,5257895,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1536x864,1519x722,,Language and Social Background Questionnaire,1,No,response-24,English
29,1638892942179,07/12/2021 16:02:22,1638892941916,0,07/12/2021 16:02:21,71111,3,questionnaire-g8rn,,17820202,73603,5257895,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1536x864,1519x722,,Language and Social Background Questionnaire,1,No,response-25,N/A
30,1638892942179,07/12/2021 16:02:22,1638892941916,0,07/12/2021 16:02:21,71111,3,questionnaire-g8rn,,17820202,73603,5257895,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1536x864,1519x722,,Language and Social Background Questionnaire,1,No,response-26,N/A
31,1638892942179,07/12/2021 16:02:22,1638892941916,0,07/12/2021 16:02:21,71111,3,questionnaire-g8rn,,17820202,73603,5257895,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1536x864,1519x722,,Language and Social Background Questionnaire,1,No,response-27-1,Yes
