Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1637087897175,16/11/2021 18:38:17,1637087896219,-5,16/11/2021 13:38:16,69689,3,questionnaire-wzmk,,17215100,60d3cbb597d9504f3369630c,5083291,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1920x1080,,Warning sept21,1,No,BEGIN QUESTIONNAIRE,
2,1637087906576,16/11/2021 18:38:26,1637087905649,-5,16/11/2021 13:38:25,69689,3,questionnaire-wzmk,,17215100,60d3cbb597d9504f3369630c,5083291,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1920x1080,,Warning sept21,1,No,END QUESTIONNAIRE,9430
1,1637088231416,16/11/2021 18:43:51,1637088233520,-7,16/11/2021 11:43:53,69689,3,questionnaire-wzmk,,17215320,611894dbe966d66122775a2a,5083339,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1366x768,1366x657,,Warning sept21,1,No,BEGIN QUESTIONNAIRE,
2,1637088360066,16/11/2021 18:46:00,1637088361407,-7,16/11/2021 11:46:01,69689,3,questionnaire-wzmk,,17215320,611894dbe966d66122775a2a,5083339,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1366x768,1366x657,,Warning sept21,1,No,END QUESTIONNAIRE,127887
1,1637089946460,16/11/2021 19:12:26,1637089947082,-5,16/11/2021 14:12:27,69689,3,questionnaire-wzmk,,17216669,614762388a0aab39fa450e1f,5083633,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1920x961,,Warning sept21,1,No,BEGIN QUESTIONNAIRE,
2,1637089948558,16/11/2021 19:12:28,1637089949220,-5,16/11/2021 14:12:29,69689,3,questionnaire-wzmk,,17216669,614762388a0aab39fa450e1f,5083633,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1920x961,,Warning sept21,1,No,END QUESTIONNAIRE,2138
1,1637090228625,16/11/2021 19:17:08,1637090229057,0,16/11/2021 19:17:09,69689,3,questionnaire-wzmk,,17216857,61221bf809bf9884406d9d68,5083615,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1280x720,,Warning sept21,1,No,BEGIN QUESTIONNAIRE,
2,1637090235403,16/11/2021 19:17:15,1637090235848,0,16/11/2021 19:17:15,69689,3,questionnaire-wzmk,,17216857,61221bf809bf9884406d9d68,5083615,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1280x720,,Warning sept21,1,No,END QUESTIONNAIRE,6792
1,1637092271356,16/11/2021 19:51:11,1637092270974,-5,16/11/2021 14:51:10,69689,3,questionnaire-wzmk,,17218150,5ec13652903b33542d18a4b6,5083901,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Mac OS 10.12.6,Safari 12.1.2,1440x900,1440x837,,Warning sept21,1,No,BEGIN QUESTIONNAIRE,
2,1637092274974,16/11/2021 19:51:14,1637092274643,-5,16/11/2021 14:51:14,69689,3,questionnaire-wzmk,,17218150,5ec13652903b33542d18a4b6,5083901,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Mac OS 10.12.6,Safari 12.1.2,1440x900,1440x837,,Warning sept21,1,No,END QUESTIONNAIRE,3669
