Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1637087545776,16/11/2021 18:32:25,1637087544787,-5,16/11/2021 13:32:24,69689,3,questionnaire-292l,,17214866,60d3cbb597d9504f3369630c,5083291,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1920x937,,Specific Consent sept21- pilot30,2,No,BEGIN QUESTIONNAIRE,
2,1637087572550,16/11/2021 18:32:52,1637087571619,-5,16/11/2021 13:32:51,69689,3,questionnaire-292l,,17214866,60d3cbb597d9504f3369630c,5083291,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1903x937,,Specific Consent sept21- pilot30,2,No,response-9-1,Yes
3,1637087572686,16/11/2021 18:32:52,1637087571621,-5,16/11/2021 13:32:51,69689,3,questionnaire-292l,,17214866,60d3cbb597d9504f3369630c,5083291,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1903x937,,Specific Consent sept21- pilot30,2,No,response-10-1,Yes
4,1637087572686,16/11/2021 18:32:52,1637087571621,-5,16/11/2021 13:32:51,69689,3,questionnaire-292l,,17214866,60d3cbb597d9504f3369630c,5083291,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1903x937,,Specific Consent sept21- pilot30,2,No,response-11-1,Yes
5,1637087572686,16/11/2021 18:32:52,1637087571621,-5,16/11/2021 13:32:51,69689,3,questionnaire-292l,,17214866,60d3cbb597d9504f3369630c,5083291,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1903x937,,Specific Consent sept21- pilot30,2,No,response-12-1,Yes
6,1637087572686,16/11/2021 18:32:52,1637087571621,-5,16/11/2021 13:32:51,69689,3,questionnaire-292l,,17214866,60d3cbb597d9504f3369630c,5083291,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1903x937,,Specific Consent sept21- pilot30,2,No,response-5-1,Yes
7,1637087572686,16/11/2021 18:32:52,1637087571621,-5,16/11/2021 13:32:51,69689,3,questionnaire-292l,,17214866,60d3cbb597d9504f3369630c,5083291,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1903x937,,Specific Consent sept21- pilot30,2,No,response-7-1,Yes
8,1637087572686,16/11/2021 18:32:52,1637087571621,-5,16/11/2021 13:32:51,69689,3,questionnaire-292l,,17214866,60d3cbb597d9504f3369630c,5083291,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1903x937,,Specific Consent sept21- pilot30,2,No,response-14,1
9,1637087572686,16/11/2021 18:32:52,1637087571621,-5,16/11/2021 13:32:51,69689,3,questionnaire-292l,,17214866,60d3cbb597d9504f3369630c,5083291,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1903x937,,Specific Consent sept21- pilot30,2,No,END QUESTIONNAIRE,26834
1,1637087761177,16/11/2021 18:36:01,1637087763316,-7,16/11/2021 11:36:03,69689,3,questionnaire-292l,,17214994,611894dbe966d66122775a2a,5083339,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1366x768,1366x657,,Specific Consent sept21- pilot30,2,No,BEGIN QUESTIONNAIRE,
2,1637087786695,16/11/2021 18:36:26,1637087788488,-7,16/11/2021 11:36:28,69689,3,questionnaire-292l,,17214994,611894dbe966d66122775a2a,5083339,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1366x768,1349x657,,Specific Consent sept21- pilot30,2,No,response-9-1,Yes
3,1637087786898,16/11/2021 18:36:26,1637087788493,-7,16/11/2021 11:36:28,69689,3,questionnaire-292l,,17214994,611894dbe966d66122775a2a,5083339,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1366x768,1349x657,,Specific Consent sept21- pilot30,2,No,response-10-2,No
4,1637087786898,16/11/2021 18:36:26,1637087788494,-7,16/11/2021 11:36:28,69689,3,questionnaire-292l,,17214994,611894dbe966d66122775a2a,5083339,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1366x768,1349x657,,Specific Consent sept21- pilot30,2,No,response-11-2,No
