Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1638366671676,01/12/2021 13:51:11,1638366671119,0,01/12/2021 13:51:11,71111,3,questionnaire-gwl4,,17623239,73912,5203757,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x969,,Informationsheet monolingual,2,No,BEGIN QUESTIONNAIRE,
2,1638366676045,01/12/2021 13:51:16,1638366675537,0,01/12/2021 13:51:15,71111,3,questionnaire-gwl4,,17623239,73912,5203757,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1903x969,,Informationsheet monolingual,2,No,END QUESTIONNAIRE,4418
1,1638441672515,02/12/2021 10:41:12,1638441672389,0,02/12/2021 10:41:12,71111,3,questionnaire-gwl4,,17661309,74041,5212221,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.1,1440x900,1440x837,,Informationsheet monolingual,2,No,BEGIN QUESTIONNAIRE,
2,1638441676648,02/12/2021 10:41:16,1638441676558,0,02/12/2021 10:41:16,71111,3,questionnaire-gwl4,,17661309,74041,5212221,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.1,1440x900,1440x837,,Informationsheet monolingual,2,No,END QUESTIONNAIRE,4169
1,1638520152753,03/12/2021 08:29:12,1638520153487,0,03/12/2021 08:29:13,71111,3,questionnaire-gwl4,,17690972,72574,5220704,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1280x720,1280x585,,Informationsheet monolingual,2,No,BEGIN QUESTIONNAIRE,
2,1638520210263,03/12/2021 08:30:10,1638520211050,0,03/12/2021 08:30:11,71111,3,questionnaire-gwl4,,17690972,72574,5220704,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1280x720,1263x585,,Informationsheet monolingual,2,No,END QUESTIONNAIRE,57563
1,1638537706168,03/12/2021 13:21:46,1638537705653,0,03/12/2021 13:21:45,71111,3,questionnaire-gwl4,,17700635,72253,5222915,,complete,,,computer,Desktop or Laptop,Chromium OS 13904.66.0,Chrome 91.0.4472.114,1366x768,1366x649,,Informationsheet monolingual,2,No,BEGIN QUESTIONNAIRE,
2,1638537712516,03/12/2021 13:21:52,1638537711997,0,03/12/2021 13:21:51,71111,3,questionnaire-gwl4,,17700635,72253,5222915,,complete,,,computer,Desktop or Laptop,Chromium OS 13904.66.0,Chrome 91.0.4472.114,1366x768,1366x649,,Informationsheet monolingual,2,No,END QUESTIONNAIRE,6344
1,1638621424568,04/12/2021 12:37:04,1638621424458,0,04/12/2021 12:37:04,71111,3,questionnaire-gwl4,,17732379,73597,5230223,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 96.0.4664.55,1680x1050,1597x829,,Informationsheet monolingual,2,No,BEGIN QUESTIONNAIRE,
2,1638621429792,04/12/2021 12:37:09,1638621429706,0,04/12/2021 12:37:09,71111,3,questionnaire-gwl4,,17732379,73597,5230223,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 96.0.4664.55,1680x1050,1597x829,,Informationsheet monolingual,2,No,END QUESTIONNAIRE,5248
