Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1632301322913,22/09/2021 09:02:02,1632301322695,10,22/09/2021 19:02:02,61434,1,questionnaire-292l,,15920523,60ee830fe4fdfd6f71be5290,4708213,,complete,,614af0ee42d1add6a218b647,computer,Desktop or Laptop,Windows 10,Firefox 92.0,1920x1080,1857x995,,Specific Consent sept21- pilot30,2,No,BEGIN QUESTIONNAIRE,
2,1632301351071,22/09/2021 09:02:31,1632301350892,10,22/09/2021 19:02:30,61434,1,questionnaire-292l,,15920523,60ee830fe4fdfd6f71be5290,4708213,,complete,,614af0ee42d1add6a218b647,computer,Desktop or Laptop,Windows 10,Firefox 92.0,1920x1080,1840x995,,Specific Consent sept21- pilot30,2,No,response-9-1,Yes
3,1632301351398,22/09/2021 09:02:31,1632301350892,10,22/09/2021 19:02:30,61434,1,questionnaire-292l,,15920523,60ee830fe4fdfd6f71be5290,4708213,,complete,,614af0ee42d1add6a218b647,computer,Desktop or Laptop,Windows 10,Firefox 92.0,1920x1080,1840x995,,Specific Consent sept21- pilot30,2,No,response-10-1,Yes
4,1632301351398,22/09/2021 09:02:31,1632301350893,10,22/09/2021 19:02:30,61434,1,questionnaire-292l,,15920523,60ee830fe4fdfd6f71be5290,4708213,,complete,,614af0ee42d1add6a218b647,computer,Desktop or Laptop,Windows 10,Firefox 92.0,1920x1080,1840x995,,Specific Consent sept21- pilot30,2,No,response-11-1,Yes
5,1632301351398,22/09/2021 09:02:31,1632301350893,10,22/09/2021 19:02:30,61434,1,questionnaire-292l,,15920523,60ee830fe4fdfd6f71be5290,4708213,,complete,,614af0ee42d1add6a218b647,computer,Desktop or Laptop,Windows 10,Firefox 92.0,1920x1080,1840x995,,Specific Consent sept21- pilot30,2,No,response-12-1,Yes
6,1632301351398,22/09/2021 09:02:31,1632301350893,10,22/09/2021 19:02:30,61434,1,questionnaire-292l,,15920523,60ee830fe4fdfd6f71be5290,4708213,,complete,,614af0ee42d1add6a218b647,computer,Desktop or Laptop,Windows 10,Firefox 92.0,1920x1080,1840x995,,Specific Consent sept21- pilot30,2,No,response-5-1,Yes
7,1632301351398,22/09/2021 09:02:31,1632301350893,10,22/09/2021 19:02:30,61434,1,questionnaire-292l,,15920523,60ee830fe4fdfd6f71be5290,4708213,,complete,,614af0ee42d1add6a218b647,computer,Desktop or Laptop,Windows 10,Firefox 92.0,1920x1080,1840x995,,Specific Consent sept21- pilot30,2,No,response-7-1,Yes
8,1632301351398,22/09/2021 09:02:31,1632301350893,10,22/09/2021 19:02:30,61434,1,questionnaire-292l,,15920523,60ee830fe4fdfd6f71be5290,4708213,,complete,,614af0ee42d1add6a218b647,computer,Desktop or Laptop,Windows 10,Firefox 92.0,1920x1080,1840x995,,Specific Consent sept21- pilot30,2,No,response-14,1
9,1632301351398,22/09/2021 09:02:31,1632301350893,10,22/09/2021 19:02:30,61434,1,questionnaire-292l,,15920523,60ee830fe4fdfd6f71be5290,4708213,,complete,,614af0ee42d1add6a218b647,computer,Desktop or Laptop,Windows 10,Firefox 92.0,1920x1080,1840x995,,Specific Consent sept21- pilot30,2,No,END QUESTIONNAIRE,28198
1,1632396856256,23/09/2021 11:34:16,1632396855860,1,23/09/2021 12:34:15,61434,1,questionnaire-292l,,15944712,60d43e59cced38b25b96be84,4716136,,complete,,614c661b440b5643b1d6a149,computer,Desktop or Laptop,Windows 10,Firefox 92.0,1280x720,1280x595,,Specific Consent sept21- pilot30,2,No,BEGIN QUESTIONNAIRE,
2,1632396870165,23/09/2021 11:34:30,1632396869806,1,23/09/2021 12:34:29,61434,1,questionnaire-292l,,15944712,60d43e59cced38b25b96be84,4716136,,complete,,614c661b440b5643b1d6a149,computer,Desktop or Laptop,Windows 10,Firefox 92.0,1280x720,1263x595,,Specific Consent sept21- pilot30,2,No,response-9-1,Yes
3,1632396870468,23/09/2021 11:34:30,1632396869807,1,23/09/2021 12:34:29,61434,1,questionnaire-292l,,15944712,60d43e59cced38b25b96be84,4716136,,complete,,614c661b440b5643b1d6a149,computer,Desktop or Laptop,Windows 10,Firefox 92.0,1280x720,1263x595,,Specific Consent sept21- pilot30,2,No,response-10-1,Yes
4,1632396870468,23/09/2021 11:34:30,1632396869808,1,23/09/2021 12:34:29,61434,1,questionnaire-292l,,15944712,60d43e59cced38b25b96be84,4716136,,complete,,614c661b440b5643b1d6a149,computer,Desktop or Laptop,Windows 10,Firefox 92.0,1280x720,1263x595,,Specific Consent sept21- pilot30,2,No,response-11-1,Yes
5,1632396870468,23/09/2021 11:34:30,1632396869808,1,23/09/2021 12:34:29,61434,1,questionnaire-292l,,15944712,60d43e59cced38b25b96be84,4716136,,complete,,614c661b440b5643b1d6a149,computer,Desktop or Laptop,Windows 10,Firefox 92.0,1280x720,1263x595,,Specific Consent sept21- pilot30,2,No,response-12-1,Yes
6,1632396870468,23/09/2021 11:34:30,1632396869808,1,23/09/2021 12:34:29,61434,1,questionnaire-292l,,15944712,60d43e59cced38b25b96be84,4716136,,complete,,614c661b440b5643b1d6a149,computer,Desktop or Laptop,Windows 10,Firefox 92.0,1280x720,1263x595,,Specific Consent sept21- pilot30,2,No,response-5-1,Yes
7,1632396870468,23/09/2021 11:34:30,1632396869808,1,23/09/2021 12:34:29,61434,1,questionnaire-292l,,15944712,60d43e59cced38b25b96be84,4716136,,complete,,614c661b440b5643b1d6a149,computer,Desktop or Laptop,Windows 10,Firefox 92.0,1280x720,1263x595,,Specific Consent sept21- pilot30,2,No,response-7-1,Yes
8,1632396870468,23/09/2021 11:34:30,1632396869808,1,23/09/2021 12:34:29,61434,1,questionnaire-292l,,15944712,60d43e59cced38b25b96be84,4716136,,complete,,614c661b440b5643b1d6a149,computer,Desktop or Laptop,Windows 10,Firefox 92.0,1280x720,1263x595,,Specific Consent sept21- pilot30,2,No,response-14,1
9,1632396870468,23/09/2021 11:34:30,1632396869808,1,23/09/2021 12:34:29,61434,1,questionnaire-292l,,15944712,60d43e59cced38b25b96be84,4716136,,complete,,614c661b440b5643b1d6a149,computer,Desktop or Laptop,Windows 10,Firefox 92.0,1280x720,1263x595,,Specific Consent sept21- pilot30,2,No,END QUESTIONNAIRE,13948
1,1633473027929,05/10/2021 22:30:27,1633473027671,1,05/10/2021 23:30:27,61434,1,questionnaire-292l,,16202426,6057790fd7f0a41242080c99,4793411,,complete,,615cd1c4efdbcfcaa8ad512c,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.71,1366x768,1366x657,,Specific Consent sept21- pilot30,2,No,BEGIN QUESTIONNAIRE,
2,1633473052206,05/10/2021 22:30:52,1633473052004,1,05/10/2021 23:30:52,61434,1,questionnaire-292l,,16202426,6057790fd7f0a41242080c99,4793411,,complete,,615cd1c4efdbcfcaa8ad512c,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.71,1366x768,1349x657,,Specific Consent sept21- pilot30,2,No,response-9-1,Yes
3,1633473052302,05/10/2021 22:30:52,1633473052008,1,05/10/2021 23:30:52,61434,1,questionnaire-292l,,16202426,6057790fd7f0a41242080c99,4793411,,complete,,615cd1c4efdbcfcaa8ad512c,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.71,1366x768,1349x657,,Specific Consent sept21- pilot30,2,No,response-10-2,No
4,1633473052302,05/10/2021 22:30:52,1633473052008,1,05/10/2021 23:30:52,61434,1,questionnaire-292l,,16202426,6057790fd7f0a41242080c99,4793411,,complete,,615cd1c4efdbcfcaa8ad512c,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.71,1366x768,1349x657,,Specific Consent sept21- pilot30,2,No,response-11-2,No
5,1633473052302,05/10/2021 22:30:52,1633473052009,1,05/10/2021 23:30:52,61434,1,questionnaire-292l,,16202426,6057790fd7f0a41242080c99,4793411,,complete,,615cd1c4efdbcfcaa8ad512c,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.71,1366x768,1349x657,,Specific Consent sept21- pilot30,2,No,response-12-1,Yes
6,1633473052302,05/10/2021 22:30:52,1633473052010,1,05/10/2021 23:30:52,61434,1,questionnaire-292l,,16202426,6057790fd7f0a41242080c99,4793411,,complete,,615cd1c4efdbcfcaa8ad512c,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.71,1366x768,1349x657,,Specific Consent sept21- pilot30,2,No,response-5-1,Yes
7,1633473052302,05/10/2021 22:30:52,1633473052011,1,05/10/2021 23:30:52,61434,1,questionnaire-292l,,16202426,6057790fd7f0a41242080c99,4793411,,complete,,615cd1c4efdbcfcaa8ad512c,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.71,1366x768,1349x657,,Specific Consent sept21- pilot30,2,No,response-7-1,Yes
8,1633473052302,05/10/2021 22:30:52,1633473052012,1,05/10/2021 23:30:52,61434,1,questionnaire-292l,,16202426,6057790fd7f0a41242080c99,4793411,,complete,,615cd1c4efdbcfcaa8ad512c,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.71,1366x768,1349x657,,Specific Consent sept21- pilot30,2,No,response-14,1
9,1633473052302,05/10/2021 22:30:52,1633473052013,1,05/10/2021 23:30:52,61434,1,questionnaire-292l,,16202426,6057790fd7f0a41242080c99,4793411,,complete,,615cd1c4efdbcfcaa8ad512c,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.71,1366x768,1349x657,,Specific Consent sept21- pilot30,2,No,END QUESTIONNAIRE,24343
1,1634116916644,13/10/2021 09:21:56,1634116915579,1,13/10/2021 10:21:55,61434,1,questionnaire-292l,,16345281,5d351eb3ca8f5b0001834ca0,4838496,,complete,,6166a528c1f2acf94c3f1fc3,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.81,1536x864,1536x721,,Specific Consent sept21- pilot30,2,No,BEGIN QUESTIONNAIRE,
2,1634116930934,13/10/2021 09:22:10,1634116929864,1,13/10/2021 10:22:09,61434,1,questionnaire-292l,,16345281,5d351eb3ca8f5b0001834ca0,4838496,,complete,,6166a528c1f2acf94c3f1fc3,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.81,1536x864,1519x721,,Specific Consent sept21- pilot30,2,No,response-9-1,Yes
3,1634116930987,13/10/2021 09:22:10,1634116929865,1,13/10/2021 10:22:09,61434,1,questionnaire-292l,,16345281,5d351eb3ca8f5b0001834ca0,4838496,,complete,,6166a528c1f2acf94c3f1fc3,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.81,1536x864,1519x721,,Specific Consent sept21- pilot30,2,No,response-10-1,Yes
4,1634116930987,13/10/2021 09:22:10,1634116929865,1,13/10/2021 10:22:09,61434,1,questionnaire-292l,,16345281,5d351eb3ca8f5b0001834ca0,4838496,,complete,,6166a528c1f2acf94c3f1fc3,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.81,1536x864,1519x721,,Specific Consent sept21- pilot30,2,No,response-11-1,Yes
5,1634116930987,13/10/2021 09:22:10,1634116929865,1,13/10/2021 10:22:09,61434,1,questionnaire-292l,,16345281,5d351eb3ca8f5b0001834ca0,4838496,,complete,,6166a528c1f2acf94c3f1fc3,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.81,1536x864,1519x721,,Specific Consent sept21- pilot30,2,No,response-12-1,Yes
6,1634116930987,13/10/2021 09:22:10,1634116929865,1,13/10/2021 10:22:09,61434,1,questionnaire-292l,,16345281,5d351eb3ca8f5b0001834ca0,4838496,,complete,,6166a528c1f2acf94c3f1fc3,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.81,1536x864,1519x721,,Specific Consent sept21- pilot30,2,No,response-5-1,Yes
7,1634116930987,13/10/2021 09:22:10,1634116929865,1,13/10/2021 10:22:09,61434,1,questionnaire-292l,,16345281,5d351eb3ca8f5b0001834ca0,4838496,,complete,,6166a528c1f2acf94c3f1fc3,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.81,1536x864,1519x721,,Specific Consent sept21- pilot30,2,No,response-7-1,Yes
8,1634116930987,13/10/2021 09:22:10,1634116929866,1,13/10/2021 10:22:09,61434,1,questionnaire-292l,,16345281,5d351eb3ca8f5b0001834ca0,4838496,,complete,,6166a528c1f2acf94c3f1fc3,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.81,1536x864,1519x721,,Specific Consent sept21- pilot30,2,No,response-14,1
