Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1637087474295,16/11/2021 18:31:14,1637087473309,-5,16/11/2021 13:31:13,69689,3,questionnaire-u4fz,,17214811,60d3cbb597d9504f3369630c,5083291,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1920x937,,Informationsheet sept21,2,No,BEGIN QUESTIONNAIRE,
2,1637087544301,16/11/2021 18:32:24,1637087543352,-5,16/11/2021 13:32:23,69689,3,questionnaire-u4fz,,17214811,60d3cbb597d9504f3369630c,5083291,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1903x937,,Informationsheet sept21,2,No,END QUESTIONNAIRE,70043
1,1637087744817,16/11/2021 18:35:44,1637087746950,-7,16/11/2021 11:35:46,69689,3,questionnaire-u4fz,,17214981,611894dbe966d66122775a2a,5083339,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1366x768,1366x657,,Informationsheet sept21,2,No,BEGIN QUESTIONNAIRE,
2,1637087758736,16/11/2021 18:35:58,1637087760214,-7,16/11/2021 11:36:00,69689,3,questionnaire-u4fz,,17214981,611894dbe966d66122775a2a,5083339,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1366x768,1349x657,,Informationsheet sept21,2,No,END QUESTIONNAIRE,13265
1,1637089550991,16/11/2021 19:05:50,1637089551425,0,16/11/2021 19:05:51,69689,3,questionnaire-u4fz,,17216341,61221bf809bf9884406d9d68,5083615,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1280x569,,Informationsheet sept21,2,No,BEGIN QUESTIONNAIRE,
2,1637089577761,16/11/2021 19:06:17,1637089578124,0,16/11/2021 19:06:18,69689,3,questionnaire-u4fz,,17216341,61221bf809bf9884406d9d68,5083615,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1263x569,,Informationsheet sept21,2,No,END QUESTIONNAIRE,26699
1,1637089684586,16/11/2021 19:08:04,1637089685200,-5,16/11/2021 14:08:05,69689,3,questionnaire-u4fz,,17216454,614762388a0aab39fa450e1f,5083633,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1920x961,,Informationsheet sept21,2,No,BEGIN QUESTIONNAIRE,
2,1637089692250,16/11/2021 19:08:12,1637089692936,-5,16/11/2021 14:08:12,69689,3,questionnaire-u4fz,,17216454,614762388a0aab39fa450e1f,5083633,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1903x961,,Informationsheet sept21,2,No,END QUESTIONNAIRE,7736
1,1637091992910,16/11/2021 19:46:32,1637091992546,-5,16/11/2021 14:46:32,69689,3,questionnaire-u4fz,,17217970,5ec13652903b33542d18a4b6,5083901,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Mac OS 10.12.6,Safari 12.1.2,1440x900,1239x750,,Informationsheet sept21,2,No,BEGIN QUESTIONNAIRE,
2,1637091996415,16/11/2021 19:46:36,1637091996101,-5,16/11/2021 14:46:36,69689,3,questionnaire-u4fz,,17217970,5ec13652903b33542d18a4b6,5083901,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Mac OS 10.12.6,Safari 12.1.2,1440x900,1239x750,,Informationsheet sept21,2,No,END QUESTIONNAIRE,3555
1,1637096260692,16/11/2021 20:57:40,1637096260503,-5,16/11/2021 15:57:40,69689,3,questionnaire-u4fz,,17220178,611e94d09afc48c09a274933,5084323,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1440x900,1440x820,,Informationsheet sept21,2,No,BEGIN QUESTIONNAIRE,
2,1637096277212,16/11/2021 20:57:57,1637096277048,-5,16/11/2021 15:57:57,69689,3,questionnaire-u4fz,,17220178,611e94d09afc48c09a274933,5084323,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1440x900,1440x820,,Informationsheet sept21,2,No,END QUESTIONNAIRE,16546
1,1637097803355,16/11/2021 21:23:23,1637097803170,0,16/11/2021 21:23:23,69689,3,questionnaire-u4fz,,17220939,60cb4757ad02338326c2ed3e,5084508,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1366x768,1366x657,,Informationsheet sept21,2,No,BEGIN QUESTIONNAIRE,
2,1637097844899,16/11/2021 21:24:04,1637097844742,0,16/11/2021 21:24:04,69689,3,questionnaire-u4fz,,17220939,60cb4757ad02338326c2ed3e,5084508,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1366x768,1349x657,,Informationsheet sept21,2,No,END QUESTIONNAIRE,41572
1,1637099045709,16/11/2021 21:44:05,1637099045544,-5,16/11/2021 16:44:05,69689,3,questionnaire-u4fz,,17221766,61239f1eedead96a2a911396,5084679,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Mac OS 10.15,Firefox 94.0,1120x700,1120x608,,Informationsheet sept21,2,No,BEGIN QUESTIONNAIRE,
2,1637099079765,16/11/2021 21:44:39,1637099079644,-5,16/11/2021 16:44:39,69689,3,questionnaire-u4fz,,17221766,61239f1eedead96a2a911396,5084679,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Mac OS 10.15,Firefox 94.0,1120x700,1120x608,,Informationsheet sept21,2,No,END QUESTIONNAIRE,34100
1,1637101580683,16/11/2021 22:26:20,1637101580548,-5,16/11/2021 17:26:20,69689,3,questionnaire-u4fz,,17222696,6110ad1904857a95e340579e,5084944,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 95.0.4638.69,1280x800,1280x689,,Informationsheet sept21,2,No,BEGIN QUESTIONNAIRE,
2,1637101588371,16/11/2021 22:26:28,1637101588247,-5,16/11/2021 17:26:28,69689,3,questionnaire-u4fz,,17222696,6110ad1904857a95e340579e,5084944,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 95.0.4638.69,1280x800,1265x689,,Informationsheet sept21,2,No,END QUESTIONNAIRE,7699
1,1637104234271,16/11/2021 23:10:34,1637104236801,-8,16/11/2021 15:10:36,69689,3,questionnaire-u4fz,,17223581,615e0e73f753d6ed30344232,5085190,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1280x577,,Informationsheet sept21,2,No,BEGIN QUESTIONNAIRE,
2,1637104274565,16/11/2021 23:11:14,1637104277154,-8,16/11/2021 15:11:17,69689,3,questionnaire-u4fz,,17223581,615e0e73f753d6ed30344232,5085190,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1263x577,,Informationsheet sept21,2,No,END QUESTIONNAIRE,40352
1,1637105125142,16/11/2021 23:25:25,1637105124914,0,16/11/2021 23:25:24,69689,3,questionnaire-u4fz,,17223846,6122a449f3c5e1c72c0a7878,5085275,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1280x512,,Informationsheet sept21,2,No,BEGIN QUESTIONNAIRE,
2,1637105147187,16/11/2021 23:25:47,1637105147034,0,16/11/2021 23:25:47,69689,3,questionnaire-u4fz,,17223846,6122a449f3c5e1c72c0a7878,5085275,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1263x512,,Informationsheet sept21,2,No,END QUESTIONNAIRE,22121
1,1637106642209,16/11/2021 23:50:42,1637106641979,-5,16/11/2021 18:50:41,69689,3,questionnaire-u4fz,,17224170,60173ba4df028898aa20838a,5085443,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1536x864,1536x722,,Informationsheet sept21,2,No,BEGIN QUESTIONNAIRE,
2,1637106665691,16/11/2021 23:51:05,1637106665511,-5,16/11/2021 18:51:05,69689,3,questionnaire-u4fz,,17224170,60173ba4df028898aa20838a,5085443,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1536x864,1519x722,,Informationsheet sept21,2,No,END QUESTIONNAIRE,23532
1,1637107149809,16/11/2021 23:59:09,1637107035308,-6,16/11/2021 17:57:15,69689,3,questionnaire-u4fz,,17224289,60fd0fcc7708d38e6c269af3,5085476,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1536x864,1536x735,,Informationsheet sept21,2,No,BEGIN QUESTIONNAIRE,
2,1637107202456,17/11/2021 00:00:02,1637107088025,-6,16/11/2021 17:58:08,69689,3,questionnaire-u4fz,,17224289,60fd0fcc7708d38e6c269af3,5085476,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1536x864,1519x735,,Informationsheet sept21,2,No,END QUESTIONNAIRE,52717
1,1637112661425,17/11/2021 01:31:01,1637112665090,-5,16/11/2021 20:31:05,69689,3,questionnaire-u4fz,,17225413,61021aa728ead30e61245702,5085837,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 95.0.4638.69,1440x900,1334x675,,Informationsheet sept21,2,No,BEGIN QUESTIONNAIRE,
2,1637112929608,17/11/2021 01:35:29,1637112932954,-5,16/11/2021 20:35:32,69689,3,questionnaire-u4fz,,17225413,61021aa728ead30e61245702,5085837,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 95.0.4638.69,1440x900,1334x675,,Informationsheet sept21,2,No,END QUESTIONNAIRE,267864
1,1637113689880,17/11/2021 01:48:09,1637113689749,-5,16/11/2021 20:48:09,69689,3,questionnaire-u4fz,,17225565,6151e367f510c841179bf2d9,5085898,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1366x720,1366x617,,Informationsheet sept21,2,No,BEGIN QUESTIONNAIRE,
2,1637113714217,17/11/2021 01:48:34,1637113714136,-5,16/11/2021 20:48:34,69689,3,questionnaire-u4fz,,17225565,6151e367f510c841179bf2d9,5085898,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1366x720,1349x617,,Informationsheet sept21,2,No,END QUESTIONNAIRE,24387
1,1637116139456,17/11/2021 02:28:59,1637116147706,-8,16/11/2021 18:29:07,69689,3,questionnaire-u4fz,,17225877,615125a165fbfe1488ba93ca,5086003,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1366x768,1366x617,,Informationsheet sept21,2,No,BEGIN QUESTIONNAIRE,
2,1637116257330,17/11/2021 02:30:57,1637116256285,-8,16/11/2021 18:30:56,69689,3,questionnaire-u4fz,,17225877,615125a165fbfe1488ba93ca,5086003,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1366x768,1349x617,,Informationsheet sept21,2,No,END QUESTIONNAIRE,108579
1,1637159972750,17/11/2021 14:39:32,1637159973646,-5,17/11/2021 09:39:33,69689,3,questionnaire-u4fz,,17242576,611ff1e1ce043b057bf632c3,5090345,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1920x969,,Informationsheet sept21,2,No,BEGIN QUESTIONNAIRE,
2,1637159997433,17/11/2021 14:39:57,1637159998379,-5,17/11/2021 09:39:58,69689,3,questionnaire-u4fz,,17242576,611ff1e1ce043b057bf632c3,5090345,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1903x969,,Informationsheet sept21,2,No,END QUESTIONNAIRE,24733
1,1637174013000,17/11/2021 18:33:33,1637174011736,0,17/11/2021 18:33:31,69689,3,questionnaire-u4fz,,17252135,5e0f22357f08ed63d1410be9,5093216,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Firefox 94.0,1536x864,1536x711,,Informationsheet sept21,2,No,BEGIN QUESTIONNAIRE,
2,1637174022931,17/11/2021 18:33:42,1637174021707,0,17/11/2021 18:33:41,69689,3,questionnaire-u4fz,,17252135,5e0f22357f08ed63d1410be9,5093216,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Firefox 94.0,1536x864,1519x739,,Informationsheet sept21,2,No,END QUESTIONNAIRE,9971
1,1637193432320,17/11/2021 23:57:12,1637193432143,0,17/11/2021 23:57:12,69689,3,questionnaire-u4fz,,17263475,611303d1e271d7dbe8005329,5096407,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 95.0.4638.69,1440x900,1456x764,,Informationsheet sept21,2,No,BEGIN QUESTIONNAIRE,
2,1637193463000,17/11/2021 23:57:43,1637193462890,0,17/11/2021 23:57:42,69689,3,questionnaire-u4fz,,17263475,611303d1e271d7dbe8005329,5096407,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 95.0.4638.69,1440x900,1456x764,,Informationsheet sept21,2,No,END QUESTIONNAIRE,30747
1,1637587581615,22/11/2021 13:26:21,1637587583820,0,22/11/2021 13:26:23,69689,3,questionnaire-u4fz,,17371461,5e2024575427913343968001,5125785,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1536x864,1707x802,,Informationsheet sept21,2,No,BEGIN QUESTIONNAIRE,
2,1637587590457,22/11/2021 13:26:30,1637587592724,0,22/11/2021 13:26:32,69689,3,questionnaire-u4fz,,17371461,5e2024575427913343968001,5125785,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1536x864,1688x802,,Informationsheet sept21,2,No,END QUESTIONNAIRE,8905
1,1637593007614,22/11/2021 14:56:47,1637593007110,0,22/11/2021 14:56:47,69689,3,questionnaire-u4fz,,17376346,5f65cf7c66875b15254e554e,5126836,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1536x864,1536x754,,Informationsheet sept21,2,No,BEGIN QUESTIONNAIRE,
2,1637593010996,22/11/2021 14:56:50,1637593010547,0,22/11/2021 14:56:50,69689,3,questionnaire-u4fz,,17376346,5f65cf7c66875b15254e554e,5126836,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1536x864,1519x754,,Informationsheet sept21,2,No,END QUESTIONNAIRE,3437
1,1637754714272,24/11/2021 11:51:54,1637754713331,0,24/11/2021 11:51:53,69689,3,questionnaire-u4fz,,17440836,60cba82417f9624fbdbfb399,5146687,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1280x720,1280x609,,Informationsheet sept21,2,No,BEGIN QUESTIONNAIRE,
2,1637754720995,24/11/2021 11:52:00,1637754720020,0,24/11/2021 11:52:00,69689,3,questionnaire-u4fz,,17440836,60cba82417f9624fbdbfb399,5146687,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1280x720,1263x609,,Informationsheet sept21,2,No,END QUESTIONNAIRE,6689
END OF FILE
