Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1638454567067,02/12/2021 14:16:07,1638454566989,0,02/12/2021 14:16:06,71111,3,questionnaire-wzmk,,17669165,73657,5214042,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,2560x1219,,Warning sept21,1,No,BEGIN QUESTIONNAIRE,
2,1638454574421,02/12/2021 14:16:14,1638454574379,0,02/12/2021 14:16:14,71111,3,questionnaire-wzmk,,17669165,73657,5214042,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,2560x1219,,Warning sept21,1,No,END QUESTIONNAIRE,7390
1,1638538677397,03/12/2021 13:37:57,1638538676885,0,03/12/2021 13:37:56,71111,3,questionnaire-wzmk,,17701632,72253,5222915,,complete,,,computer,Desktop or Laptop,Chromium OS 13904.66.0,Chrome 91.0.4472.114,1366x768,1366x649,,Warning sept21,1,No,BEGIN QUESTIONNAIRE,
2,1638538683093,03/12/2021 13:38:03,1638538682643,0,03/12/2021 13:38:02,71111,3,questionnaire-wzmk,,17701632,72253,5222915,,complete,,,computer,Desktop or Laptop,Chromium OS 13904.66.0,Chrome 91.0.4472.114,1366x768,1366x649,,Warning sept21,1,No,END QUESTIONNAIRE,5758
1,1638893231726,07/12/2021 16:07:11,1638893231635,0,07/12/2021 16:07:11,71111,3,questionnaire-wzmk,,17820517,73603,5257895,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1536x864,1536x864,,Warning sept21,1,No,BEGIN QUESTIONNAIRE,
2,1638893237380,07/12/2021 16:07:17,1638893237326,0,07/12/2021 16:07:17,71111,3,questionnaire-wzmk,,17820517,73603,5257895,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1536x864,1536x864,,Warning sept21,1,No,END QUESTIONNAIRE,5691
1,1638812645773,06/12/2021 17:44:05,1638812645702,0,06/12/2021 17:44:05,71111,3,questionnaire-wzmk,,17793157,72721,5249600,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 96.0.4664.55,1440x900,1440x821,,Warning sept21,1,No,BEGIN QUESTIONNAIRE,
2,1638812651615,06/12/2021 17:44:11,1638812651574,0,06/12/2021 17:44:11,71111,3,questionnaire-wzmk,,17793157,72721,5249600,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 96.0.4664.55,1440x900,1440x821,,Warning sept21,1,No,END QUESTIONNAIRE,5872
1,1638802963863,06/12/2021 15:02:43,1638802961743,0,06/12/2021 15:02:41,71111,3,questionnaire-wzmk,,17785520,73639,5247684,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 96.0.4664.55,1440x900,1440x900,,Warning sept21,1,No,BEGIN QUESTIONNAIRE,
2,1638802969361,06/12/2021 15:02:49,1638802967204,0,06/12/2021 15:02:47,71111,3,questionnaire-wzmk,,17785520,73639,5247684,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 96.0.4664.55,1440x900,1440x900,,Warning sept21,1,No,END QUESTIONNAIRE,5461
1,1638802404769,06/12/2021 14:53:24,1638802408539,0,06/12/2021 14:53:28,71111,3,questionnaire-wzmk,,17785114,73825,5247471,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1280x720,2560x1440,,Warning sept21,1,No,BEGIN QUESTIONNAIRE,
