Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1637088538462,16/11/2021 18:48:58,1637088537470,-5,16/11/2021 13:48:57,69689,3,questionnaire-iqdc,,17215567,60d3cbb597d9504f3369630c,5083291,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1920x1080,,Study questions sept21,1,No,BEGIN QUESTIONNAIRE,
2,1637088579954,16/11/2021 18:49:39,1637088578971,-5,16/11/2021 13:49:38,69689,3,questionnaire-iqdc,,17215567,60d3cbb597d9504f3369630c,5083291,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1920x1080,,Study questions sept21,1,No,mouse,mouse
3,1637088580097,16/11/2021 18:49:40,1637088578972,-5,16/11/2021 13:49:38,69689,3,questionnaire-iqdc,,17215567,60d3cbb597d9504f3369630c,5083291,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1920x1080,,Study questions sept21,1,No,mouse-quantised,1
4,1637088580097,16/11/2021 18:49:40,1637088578972,-5,16/11/2021 13:49:38,69689,3,questionnaire-iqdc,,17215567,60d3cbb597d9504f3369630c,5083291,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1920x1080,,Study questions sept21,1,No,problems,no
5,1637088580097,16/11/2021 18:49:40,1637088578972,-5,16/11/2021 13:49:38,69689,3,questionnaire-iqdc,,17215567,60d3cbb597d9504f3369630c,5083291,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1920x1080,,Study questions sept21,1,No,problems-quantised,1
6,1637088580097,16/11/2021 18:49:40,1637088578972,-5,16/11/2021 13:49:38,69689,3,questionnaire-iqdc,,17215567,60d3cbb597d9504f3369630c,5083291,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1920x1080,,Study questions sept21,1,No,problems-text,
7,1637088580097,16/11/2021 18:49:40,1637088578972,-5,16/11/2021 13:49:38,69689,3,questionnaire-iqdc,,17215567,60d3cbb597d9504f3369630c,5083291,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1920x1080,,Study questions sept21,1,No,drugs/alcohol-1,No
8,1637088580097,16/11/2021 18:49:40,1637088578972,-5,16/11/2021 13:49:38,69689,3,questionnaire-iqdc,,17215567,60d3cbb597d9504f3369630c,5083291,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1920x1080,,Study questions sept21,1,No,tired,Fine
9,1637088580097,16/11/2021 18:49:40,1637088578972,-5,16/11/2021 13:49:38,69689,3,questionnaire-iqdc,,17215567,60d3cbb597d9504f3369630c,5083291,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1920x1080,,Study questions sept21,1,No,tired-quantised,3
10,1637088580097,16/11/2021 18:49:40,1637088578972,-5,16/11/2021 13:49:38,69689,3,questionnaire-iqdc,,17215567,60d3cbb597d9504f3369630c,5083291,,complete,,{{%SESSION_ID%},computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1920x1080,,Study questions sept21,1,No,END QUESTIONNAIRE,41502
