Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1626773125979,20/07/2021 09:25:25,1626773124823,1,20/07/2021 10:25:24,56184,5,questionnaire-x8ml,,14462674,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Language questions,1,No,BEGIN QUESTIONNAIRE,
2,1626773250515,20/07/2021 09:27:30,1626773249374,1,20/07/2021 10:27:29,56184,5,questionnaire-x8ml,,14462674,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Language questions,1,No,number of languages,2
3,1626773250563,20/07/2021 09:27:30,1626773249376,1,20/07/2021 10:27:29,56184,5,questionnaire-x8ml,,14462674,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Language questions,1,No,number of languages-quantised,2
4,1626773250563,20/07/2021 09:27:30,1626773249377,1,20/07/2021 10:27:29,56184,5,questionnaire-x8ml,,14462674,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Language questions,1,No,number of languages-text,
5,1626773250563,20/07/2021 09:27:30,1626773249377,1,20/07/2021 10:27:29,56184,5,questionnaire-x8ml,,14462674,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Language questions,1,No,Fluency L1,5
6,1626773250563,20/07/2021 09:27:30,1626773249377,1,20/07/2021 10:27:29,56184,5,questionnaire-x8ml,,14462674,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Language questions,1,No,Fluency L1-quantised,5
7,1626773250563,20/07/2021 09:27:30,1626773249377,1,20/07/2021 10:27:29,56184,5,questionnaire-x8ml,,14462674,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Language questions,1,No,Fluency L2,4
8,1626773250563,20/07/2021 09:27:30,1626773249377,1,20/07/2021 10:27:29,56184,5,questionnaire-x8ml,,14462674,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Language questions,1,No,Fluency L2-quantised,4
9,1626773250563,20/07/2021 09:27:30,1626773249377,1,20/07/2021 10:27:29,56184,5,questionnaire-x8ml,,14462674,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Language questions,1,No,L3 fluency,
10,1626773250563,20/07/2021 09:27:30,1626773249377,1,20/07/2021 10:27:29,56184,5,questionnaire-x8ml,,14462674,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Language questions,1,No,age bilingual,10
11,1626773250563,20/07/2021 09:27:30,1626773249377,1,20/07/2021 10:27:29,56184,5,questionnaire-x8ml,,14462674,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Language questions,1,No,age bilingual-quantised,11
12,1626773250563,20/07/2021 09:27:30,1626773249377,1,20/07/2021 10:27:29,56184,5,questionnaire-x8ml,,14462674,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Language questions,1,No,%english childhood,50
13,1626773250563,20/07/2021 09:27:30,1626773249378,1,20/07/2021 10:27:29,56184,5,questionnaire-x8ml,,14462674,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Language questions,1,No,Language spoken in childhood other,100
14,1626773250563,20/07/2021 09:27:30,1626773249378,1,20/07/2021 10:27:29,56184,5,questionnaire-x8ml,,14462674,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Language questions,1,No,Percent English daily life,85
15,1626773250563,20/07/2021 09:27:30,1626773249378,1,20/07/2021 10:27:29,56184,5,questionnaire-x8ml,,14462674,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Language questions,1,No,other language daily life,40
16,1626773250563,20/07/2021 09:27:30,1626773249378,1,20/07/2021 10:27:29,56184,5,questionnaire-x8ml,,14462674,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Language questions,1,No,years away,5-6
17,1626773250563,20/07/2021 09:27:30,1626773249378,1,20/07/2021 10:27:29,56184,5,questionnaire-x8ml,,14462674,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Language questions,1,No,years away-quantised,4
18,1626773250563,20/07/2021 09:27:30,1626773249378,1,20/07/2021 10:27:29,56184,5,questionnaire-x8ml,,14462674,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Language questions,1,No,current language use,use two (+) languages but in different settings (i.e. one on the phone with my grandparents and one with work)
19,1626773250563,20/07/2021 09:27:30,1626773249378,1,20/07/2021 10:27:29,56184,5,questionnaire-x8ml,,14462674,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Language questions,1,No,current language use-quantised,2
20,1626773250563,20/07/2021 09:27:30,1626773249379,1,20/07/2021 10:27:29,56184,5,questionnaire-x8ml,,14462674,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Language questions,1,No,home dual-language1,3
21,1626773250563,20/07/2021 09:27:30,1626773249379,1,20/07/2021 10:27:29,56184,5,questionnaire-x8ml,,14462674,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Language questions,1,No,home dual-language1-quantised,3
22,1626773250563,20/07/2021 09:27:30,1626773249379,1,20/07/2021 10:27:29,56184,5,questionnaire-x8ml,,14462674,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Language questions,1,No,home dual-language2,4
23,1626773250641,20/07/2021 09:27:30,1626773249379,1,20/07/2021 10:27:29,56184,5,questionnaire-x8ml,,14462674,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Language questions,1,No,home dual-language2-quantised,4
24,1626773250641,20/07/2021 09:27:30,1626773249379,1,20/07/2021 10:27:29,56184,5,questionnaire-x8ml,,14462674,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Language questions,1,No,home dual-language3,4
25,1626773250641,20/07/2021 09:27:30,1626773249379,1,20/07/2021 10:27:29,56184,5,questionnaire-x8ml,,14462674,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Language questions,1,No,home dual-language3-quantised,4
26,1626773250641,20/07/2021 09:27:30,1626773249380,1,20/07/2021 10:27:29,56184,5,questionnaire-x8ml,,14462674,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Language questions,1,No,home dual-language4,4
