Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1638372929528,01/12/2021 15:35:29,1638372928935,0,01/12/2021 15:35:28,71111,3,questionnaire-ojo9,,17627973,73723,5205110,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 96.0.4664.55,1440x900,1440x821,,Participant questions,1,No,BEGIN QUESTIONNAIRE,
2,1638373039290,01/12/2021 15:37:19,1638373038736,0,01/12/2021 15:37:18,71111,3,questionnaire-ojo9,,17627973,73723,5205110,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 96.0.4664.55,1440x900,1440x821,,Participant questions,1,No,musical training,0
3,1638373039345,01/12/2021 15:37:19,1638373038737,0,01/12/2021 15:37:18,71111,3,questionnaire-ojo9,,17627973,73723,5205110,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 96.0.4664.55,1440x900,1440x821,,Participant questions,1,No,musical training-quantised,1
4,1638373039345,01/12/2021 15:37:19,1638373038737,0,01/12/2021 15:37:18,71111,3,questionnaire-ojo9,,17627973,73723,5205110,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 96.0.4664.55,1440x900,1440x821,,Participant questions,1,No,musical instrument,Hardly ever
5,1638373039345,01/12/2021 15:37:19,1638373038737,0,01/12/2021 15:37:18,71111,3,questionnaire-ojo9,,17627973,73723,5205110,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 96.0.4664.55,1440x900,1440x821,,Participant questions,1,No,musical instrument-quantised,5
6,1638373039345,01/12/2021 15:37:19,1638373038738,0,01/12/2021 15:37:18,71111,3,questionnaire-ojo9,,17627973,73723,5205110,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 96.0.4664.55,1440x900,1440x821,,Participant questions,1,No,multitask,4+ times a week
7,1638373039345,01/12/2021 15:37:19,1638373038738,0,01/12/2021 15:37:18,71111,3,questionnaire-ojo9,,17627973,73723,5205110,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 96.0.4664.55,1440x900,1440x821,,Participant questions,1,No,multitask-quantised,1
8,1638373039345,01/12/2021 15:37:19,1638373038738,0,01/12/2021 15:37:18,71111,3,questionnaire-ojo9,,17627973,73723,5205110,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 96.0.4664.55,1440x900,1440x821,,Participant questions,1,No,sport,Once every two weeks
9,1638373039345,01/12/2021 15:37:19,1638373038738,0,01/12/2021 15:37:18,71111,3,questionnaire-ojo9,,17627973,73723,5205110,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 96.0.4664.55,1440x900,1440x821,,Participant questions,1,No,sport-quantised,3
10,1638373039345,01/12/2021 15:37:19,1638373038738,0,01/12/2021 15:37:18,71111,3,questionnaire-ojo9,,17627973,73723,5205110,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 96.0.4664.55,1440x900,1440x821,,Participant questions,1,No,team sports,I am average
