Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1620634354111,10/05/2021 08:12:34,1620634354365,1,10/05/2021 09:12:34,49173,4,questionnaire-35za,,12546095,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1920x937,,Participant questions,2,No,BEGIN QUESTIONNAIRE,
2,1620634530677,10/05/2021 08:15:30,1620634530995,1,10/05/2021 09:15:30,49173,4,questionnaire-35za,,12546095,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x937,,Participant questions,2,No,DOB-day,22
3,1620634530788,10/05/2021 08:15:30,1620634530998,1,10/05/2021 09:15:30,49173,4,questionnaire-35za,,12546095,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x937,,Participant questions,2,No,DOB-month,11
4,1620634530788,10/05/2021 08:15:30,1620634530998,1,10/05/2021 09:15:30,49173,4,questionnaire-35za,,12546095,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x937,,Participant questions,2,No,DOB-year,29
5,1620634530788,10/05/2021 08:15:30,1620634530998,1,10/05/2021 09:15:30,49173,4,questionnaire-35za,,12546095,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x937,,Participant questions,2,No,videogames,Once every two weeks
6,1620634530788,10/05/2021 08:15:30,1620634530998,1,10/05/2021 09:15:30,49173,4,questionnaire-35za,,12546095,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x937,,Participant questions,2,No,videogames-quantised,3
7,1620634530788,10/05/2021 08:15:30,1620634530998,1,10/05/2021 09:15:30,49173,4,questionnaire-35za,,12546095,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x937,,Participant questions,2,No,musical training,1
8,1620634530788,10/05/2021 08:15:30,1620634530998,1,10/05/2021 09:15:30,49173,4,questionnaire-35za,,12546095,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x937,,Participant questions,2,No,musical training-quantised,2
9,1620634530788,10/05/2021 08:15:30,1620634530999,1,10/05/2021 09:15:30,49173,4,questionnaire-35za,,12546095,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x937,,Participant questions,2,No,musical instrument,Hardly ever
10,1620634530788,10/05/2021 08:15:30,1620634530999,1,10/05/2021 09:15:30,49173,4,questionnaire-35za,,12546095,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x937,,Participant questions,2,No,musical instrument-quantised,5
