Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1620634709897,10/05/2021 08:18:29,1620634710163,1,10/05/2021 09:18:30,49173,4,questionnaire-y7yv,,12546200,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1920x937,,Age of onset of bilingualism,1,No,BEGIN QUESTIONNAIRE,
2,1620634814277,10/05/2021 08:20:14,1620634814569,1,10/05/2021 09:20:14,49173,4,questionnaire-y7yv,,12546200,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x937,,Age of onset of bilingualism,1,No,response-27-1,Yes
3,1620634814371,10/05/2021 08:20:14,1620634814570,1,10/05/2021 09:20:14,49173,4,questionnaire-y7yv,,12546200,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x937,,Age of onset of bilingualism,1,No,response-27-text,
4,1620634814371,10/05/2021 08:20:14,1620634814571,1,10/05/2021 09:20:14,49173,4,questionnaire-y7yv,,12546200,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x937,,Age of onset of bilingualism,1,No,response-29-1,No
5,1620634814371,10/05/2021 08:20:14,1620634814571,1,10/05/2021 09:20:14,49173,4,questionnaire-y7yv,,12546200,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x937,,Age of onset of bilingualism,1,No,response-29-text,
6,1620634814371,10/05/2021 08:20:14,1620634814571,1,10/05/2021 09:20:14,49173,4,questionnaire-y7yv,,12546200,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x937,,Age of onset of bilingualism,1,No,response-33,English
7,1620634814371,10/05/2021 08:20:14,1620634814571,1,10/05/2021 09:20:14,49173,4,questionnaire-y7yv,,12546200,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x937,,Age of onset of bilingualism,1,No,response-35,French
8,1620634814371,10/05/2021 08:20:14,1620634814571,1,10/05/2021 09:20:14,49173,4,questionnaire-y7yv,,12546200,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x937,,Age of onset of bilingualism,1,No,response-36,Spanish
9,1620634814371,10/05/2021 08:20:14,1620634814571,1,10/05/2021 09:20:14,49173,4,questionnaire-y7yv,,12546200,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x937,,Age of onset of bilingualism,1,No,response-37,German
10,1620634814371,10/05/2021 08:20:14,1620634814571,1,10/05/2021 09:20:14,49173,4,questionnaire-y7yv,,12546200,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x937,,Age of onset of bilingualism,1,No,response-38,N/A
11,1620634814371,10/05/2021 08:20:14,1620634814571,1,10/05/2021 09:20:14,49173,4,questionnaire-y7yv,,12546200,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x937,,Age of onset of bilingualism,1,No,response-32-1-1,Home
12,1620634814371,10/05/2021 08:20:14,1620634814571,1,10/05/2021 09:20:14,49173,4,questionnaire-y7yv,,12546200,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x937,,Age of onset of bilingualism,1,No,response-32-1-1-quantised,1
13,1620634814371,10/05/2021 08:20:14,1620634814571,1,10/05/2021 09:20:14,49173,4,questionnaire-y7yv,,12546200,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x937,,Age of onset of bilingualism,1,No,response-32-2-2,School
14,1620634814371,10/05/2021 08:20:14,1620634814571,1,10/05/2021 09:20:14,49173,4,questionnaire-y7yv,,12546200,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x937,,Age of onset of bilingualism,1,No,response-32-2-2-quantised,2
15,1620634814371,10/05/2021 08:20:14,1620634814572,1,10/05/2021 09:20:14,49173,4,questionnaire-y7yv,,12546200,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x937,,Age of onset of bilingualism,1,No,response-32-3-4,Other
16,1620634814371,10/05/2021 08:20:14,1620634814572,1,10/05/2021 09:20:14,49173,4,questionnaire-y7yv,,12546200,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x937,,Age of onset of bilingualism,1,No,response-32-3-4-quantised,4
17,1620634814371,10/05/2021 08:20:14,1620634814572,1,10/05/2021 09:20:14,49173,4,questionnaire-y7yv,,12546200,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x937,,Age of onset of bilingualism,1,No,response-32-4-2,School
18,1620634814371,10/05/2021 08:20:14,1620634814572,1,10/05/2021 09:20:14,49173,4,questionnaire-y7yv,,12546200,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x937,,Age of onset of bilingualism,1,No,response-32-4-2-quantised,2
19,1620634814371,10/05/2021 08:20:14,1620634814572,1,10/05/2021 09:20:14,49173,4,questionnaire-y7yv,,12546200,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x937,,Age of onset of bilingualism,1,No,response-39,0
20,1620634814371,10/05/2021 08:20:14,1620634814572,1,10/05/2021 09:20:14,49173,4,questionnaire-y7yv,,12546200,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x937,,Age of onset of bilingualism,1,No,response-41,11
21,1620634814371,10/05/2021 08:20:14,1620634814572,1,10/05/2021 09:20:14,49173,4,questionnaire-y7yv,,12546200,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x937,,Age of onset of bilingualism,1,No,response-42,28
22,1620634814371,10/05/2021 08:20:14,1620634814572,1,10/05/2021 09:20:14,49173,4,questionnaire-y7yv,,12546200,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x937,,Age of onset of bilingualism,1,No,response-43,13
23,1620634814449,10/05/2021 08:20:14,1620634814573,1,10/05/2021 09:20:14,49173,4,questionnaire-y7yv,,12546200,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x937,,Age of onset of bilingualism,1,No,response-44,N/A
24,1620634814449,10/05/2021 08:20:14,1620634814573,1,10/05/2021 09:20:14,49173,4,questionnaire-y7yv,,12546200,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x937,,Age of onset of bilingualism,1,No,response-100,N/A
25,1620634814449,10/05/2021 08:20:14,1620634814573,1,10/05/2021 09:20:14,49173,4,questionnaire-y7yv,,12546200,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1903x937,,Age of onset of bilingualism,1,No,END QUESTIONNAIRE,104411
1,1620518819264,09/05/2021 00:06:59,1620518818324,1,09/05/2021 01:06:58,49173,4,questionnaire-y7yv,,12529882,22747,3782232,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1536x807,,Age of onset of bilingualism,1,No,BEGIN QUESTIONNAIRE,
2,1620518907969,09/05/2021 00:08:27,1620518907085,1,09/05/2021 01:08:27,49173,4,questionnaire-y7yv,,12529882,22747,3782232,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1522x807,,Age of onset of bilingualism,1,No,response-27-1,Yes
3,1620518908046,09/05/2021 00:08:28,1620518907086,1,09/05/2021 01:08:27,49173,4,questionnaire-y7yv,,12529882,22747,3782232,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1522x807,,Age of onset of bilingualism,1,No,response-27-text,
4,1620518908046,09/05/2021 00:08:28,1620518907086,1,09/05/2021 01:08:27,49173,4,questionnaire-y7yv,,12529882,22747,3782232,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1522x807,,Age of onset of bilingualism,1,No,response-29-other,"Yes: if so, where and from what age?"
5,1620518908046,09/05/2021 00:08:28,1620518907086,1,09/05/2021 01:08:27,49173,4,questionnaire-y7yv,,12529882,22747,3782232,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1522x807,,Age of onset of bilingualism,1,No,response-29-text,0.5 - 3.5 years in China
6,1620518908046,09/05/2021 00:08:28,1620518907087,1,09/05/2021 01:08:27,49173,4,questionnaire-y7yv,,12529882,22747,3782232,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1522x807,,Age of onset of bilingualism,1,No,response-33,English
7,1620518908046,09/05/2021 00:08:28,1620518907087,1,09/05/2021 01:08:27,49173,4,questionnaire-y7yv,,12529882,22747,3782232,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1522x807,,Age of onset of bilingualism,1,No,response-35,Chinese Mandarin
8,1620518908046,09/05/2021 00:08:28,1620518907087,1,09/05/2021 01:08:27,49173,4,questionnaire-y7yv,,12529882,22747,3782232,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1522x807,,Age of onset of bilingualism,1,No,response-36,Shanghainese
9,1620518908046,09/05/2021 00:08:28,1620518907087,1,09/05/2021 01:08:27,49173,4,questionnaire-y7yv,,12529882,22747,3782232,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1522x807,,Age of onset of bilingualism,1,No,response-37,
10,1620518908046,09/05/2021 00:08:28,1620518907087,1,09/05/2021 01:08:27,49173,4,questionnaire-y7yv,,12529882,22747,3782232,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1522x807,,Age of onset of bilingualism,1,No,response-38,
11,1620518908046,09/05/2021 00:08:28,1620518907087,1,09/05/2021 01:08:27,49173,4,questionnaire-y7yv,,12529882,22747,3782232,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1522x807,,Age of onset of bilingualism,1,No,response-32-1-2,School
12,1620518908046,09/05/2021 00:08:28,1620518907087,1,09/05/2021 01:08:27,49173,4,questionnaire-y7yv,,12529882,22747,3782232,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1522x807,,Age of onset of bilingualism,1,No,response-32-1-2-quantised,2
13,1620518908046,09/05/2021 00:08:28,1620518907087,1,09/05/2021 01:08:27,49173,4,questionnaire-y7yv,,12529882,22747,3782232,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1522x807,,Age of onset of bilingualism,1,No,response-32-1-3,Community
14,1620518908046,09/05/2021 00:08:28,1620518907088,1,09/05/2021 01:08:27,49173,4,questionnaire-y7yv,,12529882,22747,3782232,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1522x807,,Age of onset of bilingualism,1,No,response-32-1-3-quantised,3
15,1620518908046,09/05/2021 00:08:28,1620518907088,1,09/05/2021 01:08:27,49173,4,questionnaire-y7yv,,12529882,22747,3782232,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1522x807,,Age of onset of bilingualism,1,No,response-32-1-4,Other
16,1620518908046,09/05/2021 00:08:28,1620518907088,1,09/05/2021 01:08:27,49173,4,questionnaire-y7yv,,12529882,22747,3782232,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1522x807,,Age of onset of bilingualism,1,No,response-32-1-4-quantised,4
17,1620518908046,09/05/2021 00:08:28,1620518907088,1,09/05/2021 01:08:27,49173,4,questionnaire-y7yv,,12529882,22747,3782232,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1522x807,,Age of onset of bilingualism,1,No,response-32-2-1,Home
18,1620518908046,09/05/2021 00:08:28,1620518907088,1,09/05/2021 01:08:27,49173,4,questionnaire-y7yv,,12529882,22747,3782232,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1522x807,,Age of onset of bilingualism,1,No,response-32-2-1-quantised,1
19,1620518908046,09/05/2021 00:08:28,1620518907088,1,09/05/2021 01:08:27,49173,4,questionnaire-y7yv,,12529882,22747,3782232,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1522x807,,Age of onset of bilingualism,1,No,response-32-3-1,Home
20,1620518908046,09/05/2021 00:08:28,1620518907088,1,09/05/2021 01:08:27,49173,4,questionnaire-y7yv,,12529882,22747,3782232,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1522x807,,Age of onset of bilingualism,1,No,response-32-3-1-quantised,1
