Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1638355804187,01/12/2021 10:50:04,1638355805135,0,01/12/2021 10:50:05,71111,3,questionnaire-292l,,17614166,74341,5202053,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1280x609,,Specific Consent sept21- pilot30,2,No,BEGIN QUESTIONNAIRE,
2,1638355822331,01/12/2021 10:50:22,1638355823300,0,01/12/2021 10:50:23,71111,3,questionnaire-292l,,17614166,74341,5202053,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1263x609,,Specific Consent sept21- pilot30,2,No,response-9-1,Yes
3,1638355822437,01/12/2021 10:50:22,1638355823301,0,01/12/2021 10:50:23,71111,3,questionnaire-292l,,17614166,74341,5202053,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1263x609,,Specific Consent sept21- pilot30,2,No,response-10-1,Yes
4,1638355822437,01/12/2021 10:50:22,1638355823301,0,01/12/2021 10:50:23,71111,3,questionnaire-292l,,17614166,74341,5202053,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1263x609,,Specific Consent sept21- pilot30,2,No,response-11-1,Yes
5,1638355822437,01/12/2021 10:50:22,1638355823301,0,01/12/2021 10:50:23,71111,3,questionnaire-292l,,17614166,74341,5202053,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1263x609,,Specific Consent sept21- pilot30,2,No,response-12-1,Yes
6,1638355822437,01/12/2021 10:50:22,1638355823301,0,01/12/2021 10:50:23,71111,3,questionnaire-292l,,17614166,74341,5202053,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1263x609,,Specific Consent sept21- pilot30,2,No,response-5-1,Yes
7,1638355822437,01/12/2021 10:50:22,1638355823301,0,01/12/2021 10:50:23,71111,3,questionnaire-292l,,17614166,74341,5202053,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1263x609,,Specific Consent sept21- pilot30,2,No,response-7-1,Yes
8,1638355822437,01/12/2021 10:50:22,1638355823301,0,01/12/2021 10:50:23,71111,3,questionnaire-292l,,17614166,74341,5202053,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1263x609,,Specific Consent sept21- pilot30,2,No,response-14,1
9,1638355822437,01/12/2021 10:50:22,1638355823301,0,01/12/2021 10:50:23,71111,3,questionnaire-292l,,17614166,74341,5202053,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1263x609,,Specific Consent sept21- pilot30,2,No,END QUESTIONNAIRE,18166
1,1638356377945,01/12/2021 10:59:37,1638356377862,0,01/12/2021 10:59:37,71111,3,questionnaire-292l,,17614700,72652,5202160,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 96.0.4664.55,1440x900,1440x789,,Specific Consent sept21- pilot30,2,No,BEGIN QUESTIONNAIRE,
2,1638356397909,01/12/2021 10:59:57,1638356397873,0,01/12/2021 10:59:57,71111,3,questionnaire-292l,,17614700,72652,5202160,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 96.0.4664.55,1440x900,1440x789,,Specific Consent sept21- pilot30,2,No,response-9-1,Yes
3,1638356397982,01/12/2021 10:59:57,1638356397874,0,01/12/2021 10:59:57,71111,3,questionnaire-292l,,17614700,72652,5202160,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 96.0.4664.55,1440x900,1440x789,,Specific Consent sept21- pilot30,2,No,response-10-1,Yes
