Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1632397157157,23/09/2021 11:39:17,1632397156746,1,23/09/2021 12:39:16,61434,1,questionnaire-wzmk,,15944779,60d43e59cced38b25b96be84,4716136,,complete,,614c661b440b5643b1d6a149,computer,Desktop or Laptop,Windows 10,Firefox 92.0,1280x720,1280x720,,Warning sept21,1,No,BEGIN QUESTIONNAIRE,
2,1632397159515,23/09/2021 11:39:19,1632397159154,1,23/09/2021 12:39:19,61434,1,questionnaire-wzmk,,15944779,60d43e59cced38b25b96be84,4716136,,complete,,614c661b440b5643b1d6a149,computer,Desktop or Laptop,Windows 10,Firefox 92.0,1280x720,1280x720,,Warning sept21,1,No,END QUESTIONNAIRE,2409
1,1634117138235,13/10/2021 09:25:38,1634117137134,1,13/10/2021 10:25:37,61434,1,questionnaire-wzmk,,16345363,5d351eb3ca8f5b0001834ca0,4838496,,complete,,6166a528c1f2acf94c3f1fc3,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.81,1536x864,1536x721,,Warning sept21,1,No,BEGIN QUESTIONNAIRE,
2,1634117142231,13/10/2021 09:25:42,1634117141180,1,13/10/2021 10:25:41,61434,1,questionnaire-wzmk,,16345363,5d351eb3ca8f5b0001834ca0,4838496,,complete,,6166a528c1f2acf94c3f1fc3,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.81,1536x864,1536x721,,Warning sept21,1,No,END QUESTIONNAIRE,4046
1,1634586784193,18/10/2021 19:53:04,1634586783320,1,18/10/2021 20:53:03,61434,1,questionnaire-wzmk,,16473674,60244fcbf9b0e1129517c0a0,4873026,,complete,,616dcf1dda750d9a3b437c85,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.81,1366x768,1366x657,,Warning sept21,1,No,BEGIN QUESTIONNAIRE,
2,1634586786967,18/10/2021 19:53:06,1634586785961,1,18/10/2021 20:53:05,61434,1,questionnaire-wzmk,,16473674,60244fcbf9b0e1129517c0a0,4873026,,complete,,616dcf1dda750d9a3b437c85,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.81,1366x768,1366x657,,Warning sept21,1,No,END QUESTIONNAIRE,2641
1,1633473320099,05/10/2021 22:35:20,1633473319838,1,05/10/2021 23:35:19,61434,1,questionnaire-wzmk,,16202462,6057790fd7f0a41242080c99,4793411,,complete,,615cd1c4efdbcfcaa8ad512c,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.71,1366x768,1366x768,,Warning sept21,1,No,BEGIN QUESTIONNAIRE,
2,1633473325802,05/10/2021 22:35:25,1633473325561,1,05/10/2021 23:35:25,61434,1,questionnaire-wzmk,,16202462,6057790fd7f0a41242080c99,4793411,,complete,,615cd1c4efdbcfcaa8ad512c,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.71,1366x768,1366x768,,Warning sept21,1,No,END QUESTIONNAIRE,5724
1,1632301585535,22/09/2021 09:06:25,1632301585282,10,22/09/2021 19:06:25,61434,1,questionnaire-wzmk,,15920647,60ee830fe4fdfd6f71be5290,4708213,,complete,,614af0ee42d1add6a218b647,computer,Desktop or Laptop,Windows 10,Firefox 92.0,1920x1080,1857x995,,Warning sept21,1,No,BEGIN QUESTIONNAIRE,
2,1632301599432,22/09/2021 09:06:39,1632301599237,10,22/09/2021 19:06:39,61434,1,questionnaire-wzmk,,15920647,60ee830fe4fdfd6f71be5290,4708213,,complete,,614af0ee42d1add6a218b647,computer,Desktop or Laptop,Windows 10,Firefox 92.0,1920x1080,1857x995,,Warning sept21,1,No,END QUESTIONNAIRE,13955
