Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1638193907322,29/11/2021 13:51:47,1638193907127,0,29/11/2021 13:51:47,71111,3,questionnaire-o26x,,17557882,74323,5184718,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x750,,Language questions,1,No,BEGIN QUESTIONNAIRE,
2,1638194000397,29/11/2021 13:53:20,1638194000252,0,29/11/2021 13:53:20,71111,3,questionnaire-o26x,,17557882,74323,5184718,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x750,,Language questions,1,No,number of languages,1
3,1638194000475,29/11/2021 13:53:20,1638194000253,0,29/11/2021 13:53:20,71111,3,questionnaire-o26x,,17557882,74323,5184718,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x750,,Language questions,1,No,number of languages-quantised,1
4,1638194000475,29/11/2021 13:53:20,1638194000253,0,29/11/2021 13:53:20,71111,3,questionnaire-o26x,,17557882,74323,5184718,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x750,,Language questions,1,No,number of languages-text,
5,1638194000475,29/11/2021 13:53:20,1638194000253,0,29/11/2021 13:53:20,71111,3,questionnaire-o26x,,17557882,74323,5184718,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x750,,Language questions,1,No,Fluency L1,5
6,1638194000475,29/11/2021 13:53:20,1638194000253,0,29/11/2021 13:53:20,71111,3,questionnaire-o26x,,17557882,74323,5184718,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x750,,Language questions,1,No,Fluency L1-quantised,5
7,1638194000475,29/11/2021 13:53:20,1638194000253,0,29/11/2021 13:53:20,71111,3,questionnaire-o26x,,17557882,74323,5184718,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x750,,Language questions,1,No,Fluency L2,
8,1638194000475,29/11/2021 13:53:20,1638194000253,0,29/11/2021 13:53:20,71111,3,questionnaire-o26x,,17557882,74323,5184718,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x750,,Language questions,1,No,L3 fluency,
9,1638194000475,29/11/2021 13:53:20,1638194000253,0,29/11/2021 13:53:20,71111,3,questionnaire-o26x,,17557882,74323,5184718,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x750,,Language questions,1,No,%english childhood,100
10,1638194000475,29/11/2021 13:53:20,1638194000254,0,29/11/2021 13:53:20,71111,3,questionnaire-o26x,,17557882,74323,5184718,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x750,,Language questions,1,No,Language spoken in childhood other,5
11,1638194000475,29/11/2021 13:53:20,1638194000254,0,29/11/2021 13:53:20,71111,3,questionnaire-o26x,,17557882,74323,5184718,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x750,,Language questions,1,No,Percent English daily life,100
12,1638194000475,29/11/2021 13:53:20,1638194000254,0,29/11/2021 13:53:20,71111,3,questionnaire-o26x,,17557882,74323,5184718,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x750,,Language questions,1,No,other language daily life,0
13,1638194000475,29/11/2021 13:53:20,1638194000254,0,29/11/2021 13:53:20,71111,3,questionnaire-o26x,,17557882,74323,5184718,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x750,,Language questions,1,No,years away,0
14,1638194000475,29/11/2021 13:53:20,1638194000254,0,29/11/2021 13:53:20,71111,3,questionnaire-o26x,,17557882,74323,5184718,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x750,,Language questions,1,No,years away-quantised,1
15,1638194000475,29/11/2021 13:53:20,1638194000254,0,29/11/2021 13:53:20,71111,3,questionnaire-o26x,,17557882,74323,5184718,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x750,,Language questions,1,No,current language use,primarily one language
