Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1626772975035,20/07/2021 09:22:55,1626772970959,1,20/07/2021 10:22:50,56184,5,questionnaire-64s4,,14462615,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Specific Consent,2,No,BEGIN QUESTIONNAIRE,
2,1626773009673,20/07/2021 09:23:29,1626773008568,1,20/07/2021 10:23:28,56184,5,questionnaire-64s4,,14462615,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Specific Consent,2,No,response-4-2,No
3,1626773009751,20/07/2021 09:23:29,1626773008570,1,20/07/2021 10:23:28,56184,5,questionnaire-64s4,,14462615,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Specific Consent,2,No,response-6-1,Yes
4,1626773009751,20/07/2021 09:23:29,1626773008570,1,20/07/2021 10:23:28,56184,5,questionnaire-64s4,,14462615,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Specific Consent,2,No,response-3-1,Yes
5,1626773009751,20/07/2021 09:23:29,1626773008570,1,20/07/2021 10:23:28,56184,5,questionnaire-64s4,,14462615,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Specific Consent,2,No,response-9-1,Yes
6,1626773009751,20/07/2021 09:23:29,1626773008570,1,20/07/2021 10:23:28,56184,5,questionnaire-64s4,,14462615,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Specific Consent,2,No,response-10-1,Yes
7,1626773009751,20/07/2021 09:23:29,1626773008571,1,20/07/2021 10:23:28,56184,5,questionnaire-64s4,,14462615,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Specific Consent,2,No,response-11-1,Yes
8,1626773009751,20/07/2021 09:23:29,1626773008571,1,20/07/2021 10:23:28,56184,5,questionnaire-64s4,,14462615,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Specific Consent,2,No,response-12-1,Yes
9,1626773009751,20/07/2021 09:23:29,1626773008571,1,20/07/2021 10:23:28,56184,5,questionnaire-64s4,,14462615,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Specific Consent,2,No,response-5-1,Yes
10,1626773009751,20/07/2021 09:23:29,1626773008571,1,20/07/2021 10:23:28,56184,5,questionnaire-64s4,,14462615,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Specific Consent,2,No,response-7-1,Yes
11,1626773009751,20/07/2021 09:23:29,1626773008571,1,20/07/2021 10:23:28,56184,5,questionnaire-64s4,,14462615,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Specific Consent,2,No,response-14,1
12,1626773009751,20/07/2021 09:23:29,1626773008571,1,20/07/2021 10:23:28,56184,5,questionnaire-64s4,,14462615,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Specific Consent,2,No,END QUESTIONNAIRE,37612
1,1626773165501,20/07/2021 09:26:05,1626773165862,10,20/07/2021 19:26:05,56184,5,questionnaire-64s4,,14462683,5f4ee688c01262124346d834,4300408,,complete,,60f6969ba42bc5cd0eb87c20,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1920x1080,1920x937,,Specific Consent,2,No,BEGIN QUESTIONNAIRE,
2,1626773187267,20/07/2021 09:26:27,1626773187666,10,20/07/2021 19:26:27,56184,5,questionnaire-64s4,,14462683,5f4ee688c01262124346d834,4300408,,complete,,60f6969ba42bc5cd0eb87c20,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1920x1080,1903x937,,Specific Consent,2,No,response-4-2,No
3,1626773187587,20/07/2021 09:26:27,1626773187668,10,20/07/2021 19:26:27,56184,5,questionnaire-64s4,,14462683,5f4ee688c01262124346d834,4300408,,complete,,60f6969ba42bc5cd0eb87c20,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1920x1080,1903x937,,Specific Consent,2,No,response-6-1,Yes
4,1626773187587,20/07/2021 09:26:27,1626773187668,10,20/07/2021 19:26:27,56184,5,questionnaire-64s4,,14462683,5f4ee688c01262124346d834,4300408,,complete,,60f6969ba42bc5cd0eb87c20,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1920x1080,1903x937,,Specific Consent,2,No,response-3-1,Yes
5,1626773187587,20/07/2021 09:26:27,1626773187668,10,20/07/2021 19:26:27,56184,5,questionnaire-64s4,,14462683,5f4ee688c01262124346d834,4300408,,complete,,60f6969ba42bc5cd0eb87c20,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1920x1080,1903x937,,Specific Consent,2,No,response-9-1,Yes
6,1626773187587,20/07/2021 09:26:27,1626773187668,10,20/07/2021 19:26:27,56184,5,questionnaire-64s4,,14462683,5f4ee688c01262124346d834,4300408,,complete,,60f6969ba42bc5cd0eb87c20,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1920x1080,1903x937,,Specific Consent,2,No,response-10-1,Yes
7,1626773187587,20/07/2021 09:26:27,1626773187668,10,20/07/2021 19:26:27,56184,5,questionnaire-64s4,,14462683,5f4ee688c01262124346d834,4300408,,complete,,60f6969ba42bc5cd0eb87c20,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1920x1080,1903x937,,Specific Consent,2,No,response-11-1,Yes
8,1626773187587,20/07/2021 09:26:27,1626773187669,10,20/07/2021 19:26:27,56184,5,questionnaire-64s4,,14462683,5f4ee688c01262124346d834,4300408,,complete,,60f6969ba42bc5cd0eb87c20,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1920x1080,1903x937,,Specific Consent,2,No,response-12-1,Yes
9,1626773187587,20/07/2021 09:26:27,1626773187669,10,20/07/2021 19:26:27,56184,5,questionnaire-64s4,,14462683,5f4ee688c01262124346d834,4300408,,complete,,60f6969ba42bc5cd0eb87c20,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1920x1080,1903x937,,Specific Consent,2,No,response-5-1,Yes
10,1626773187587,20/07/2021 09:26:27,1626773187669,10,20/07/2021 19:26:27,56184,5,questionnaire-64s4,,14462683,5f4ee688c01262124346d834,4300408,,complete,,60f6969ba42bc5cd0eb87c20,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1920x1080,1903x937,,Specific Consent,2,No,response-7-1,Yes
11,1626773187587,20/07/2021 09:26:27,1626773187669,10,20/07/2021 19:26:27,56184,5,questionnaire-64s4,,14462683,5f4ee688c01262124346d834,4300408,,complete,,60f6969ba42bc5cd0eb87c20,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1920x1080,1903x937,,Specific Consent,2,No,response-14,1
12,1626773187587,20/07/2021 09:26:27,1626773187669,10,20/07/2021 19:26:27,56184,5,questionnaire-64s4,,14462683,5f4ee688c01262124346d834,4300408,,complete,,60f6969ba42bc5cd0eb87c20,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1920x1080,1903x937,,Specific Consent,2,No,END QUESTIONNAIRE,21807
1,1626773641152,20/07/2021 09:34:01,1626773644987,10,20/07/2021 19:34:04,56184,5,questionnaire-64s4,,14462848,60f6135cea85bf9f3e78dc60,4300429,,complete,,60f6979d5fd6f8dd879113ff,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1920x1080,1920x941,,Specific Consent,2,No,BEGIN QUESTIONNAIRE,
2,1626773685752,20/07/2021 09:34:45,1626773689617,10,20/07/2021 19:34:49,56184,5,questionnaire-64s4,,14462848,60f6135cea85bf9f3e78dc60,4300429,,complete,,60f6979d5fd6f8dd879113ff,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1920x1080,1903x941,,Specific Consent,2,No,response-4-2,No
3,1626773686067,20/07/2021 09:34:46,1626773689620,10,20/07/2021 19:34:49,56184,5,questionnaire-64s4,,14462848,60f6135cea85bf9f3e78dc60,4300429,,complete,,60f6979d5fd6f8dd879113ff,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1920x1080,1903x941,,Specific Consent,2,No,response-6-1,Yes
4,1626773686067,20/07/2021 09:34:46,1626773689620,10,20/07/2021 19:34:49,56184,5,questionnaire-64s4,,14462848,60f6135cea85bf9f3e78dc60,4300429,,complete,,60f6979d5fd6f8dd879113ff,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1920x1080,1903x941,,Specific Consent,2,No,response-3-1,Yes
5,1626773686067,20/07/2021 09:34:46,1626773689622,10,20/07/2021 19:34:49,56184,5,questionnaire-64s4,,14462848,60f6135cea85bf9f3e78dc60,4300429,,complete,,60f6979d5fd6f8dd879113ff,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1920x1080,1903x941,,Specific Consent,2,No,response-9-1,Yes
6,1626773686067,20/07/2021 09:34:46,1626773689622,10,20/07/2021 19:34:49,56184,5,questionnaire-64s4,,14462848,60f6135cea85bf9f3e78dc60,4300429,,complete,,60f6979d5fd6f8dd879113ff,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1920x1080,1903x941,,Specific Consent,2,No,response-10-1,Yes
7,1626773686067,20/07/2021 09:34:46,1626773689623,10,20/07/2021 19:34:49,56184,5,questionnaire-64s4,,14462848,60f6135cea85bf9f3e78dc60,4300429,,complete,,60f6979d5fd6f8dd879113ff,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1920x1080,1903x941,,Specific Consent,2,No,response-11-1,Yes
8,1626773686067,20/07/2021 09:34:46,1626773689623,10,20/07/2021 19:34:49,56184,5,questionnaire-64s4,,14462848,60f6135cea85bf9f3e78dc60,4300429,,complete,,60f6979d5fd6f8dd879113ff,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1920x1080,1903x941,,Specific Consent,2,No,response-12-1,Yes
9,1626773686067,20/07/2021 09:34:46,1626773689623,10,20/07/2021 19:34:49,56184,5,questionnaire-64s4,,14462848,60f6135cea85bf9f3e78dc60,4300429,,complete,,60f6979d5fd6f8dd879113ff,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1920x1080,1903x941,,Specific Consent,2,No,response-5-1,Yes
10,1626773686067,20/07/2021 09:34:46,1626773689624,10,20/07/2021 19:34:49,56184,5,questionnaire-64s4,,14462848,60f6135cea85bf9f3e78dc60,4300429,,complete,,60f6979d5fd6f8dd879113ff,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1920x1080,1903x941,,Specific Consent,2,No,response-7-1,Yes
11,1626773686067,20/07/2021 09:34:46,1626773689624,10,20/07/2021 19:34:49,56184,5,questionnaire-64s4,,14462848,60f6135cea85bf9f3e78dc60,4300429,,complete,,60f6979d5fd6f8dd879113ff,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1920x1080,1903x941,,Specific Consent,2,No,response-14,1
12,1626773686067,20/07/2021 09:34:46,1626773689625,10,20/07/2021 19:34:49,56184,5,questionnaire-64s4,,14462848,60f6135cea85bf9f3e78dc60,4300429,,complete,,60f6979d5fd6f8dd879113ff,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1920x1080,1903x941,,Specific Consent,2,No,END QUESTIONNAIRE,44638
1,1626774313821,20/07/2021 09:45:13,1626774311163,-4,20/07/2021 05:45:11,56184,5,questionnaire-64s4,,14463051,5fd841c5c0a46117f2d392d8,4300493,,complete,,60f69aef74ba5b860fb7c3df,computer,Desktop or Laptop,Windows 7,Chrome 91.0.4472.164,1366x768,1366x625,,Specific Consent,2,No,BEGIN QUESTIONNAIRE,
2,1626774346249,20/07/2021 09:45:46,1626774343681,-4,20/07/2021 05:45:43,56184,5,questionnaire-64s4,,14463051,5fd841c5c0a46117f2d392d8,4300493,,complete,,60f69aef74ba5b860fb7c3df,computer,Desktop or Laptop,Windows 7,Chrome 91.0.4472.164,1366x768,1350x625,,Specific Consent,2,No,response-4-2,No
3,1626774346484,20/07/2021 09:45:46,1626774343685,-4,20/07/2021 05:45:43,56184,5,questionnaire-64s4,,14463051,5fd841c5c0a46117f2d392d8,4300493,,complete,,60f69aef74ba5b860fb7c3df,computer,Desktop or Laptop,Windows 7,Chrome 91.0.4472.164,1366x768,1350x625,,Specific Consent,2,No,response-6-1,Yes
4,1626774346484,20/07/2021 09:45:46,1626774343685,-4,20/07/2021 05:45:43,56184,5,questionnaire-64s4,,14463051,5fd841c5c0a46117f2d392d8,4300493,,complete,,60f69aef74ba5b860fb7c3df,computer,Desktop or Laptop,Windows 7,Chrome 91.0.4472.164,1366x768,1350x625,,Specific Consent,2,No,response-3-1,Yes
5,1626774346484,20/07/2021 09:45:46,1626774343686,-4,20/07/2021 05:45:43,56184,5,questionnaire-64s4,,14463051,5fd841c5c0a46117f2d392d8,4300493,,complete,,60f69aef74ba5b860fb7c3df,computer,Desktop or Laptop,Windows 7,Chrome 91.0.4472.164,1366x768,1350x625,,Specific Consent,2,No,response-9-1,Yes
