Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1626772950856,20/07/2021 09:22:30,1626772949704,1,20/07/2021 10:22:29,56184,5,questionnaire-67qb,,14462609,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Informationsheet,3,No,BEGIN QUESTIONNAIRE,
2,1626772968917,20/07/2021 09:22:48,1626772967815,1,20/07/2021 10:22:47,56184,5,questionnaire-67qb,,14462609,60f46e90071a4071e99e5d5e,4300390,,complete,,60f695c65ef0d2b53004dc7e,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 91.0.4472.114,1440x900,1440x821,,Informationsheet,3,No,END QUESTIONNAIRE,18111
1,1626773157777,20/07/2021 09:25:57,1626773158128,10,20/07/2021 19:25:58,56184,5,questionnaire-67qb,,14462682,5f4ee688c01262124346d834,4300408,,complete,,60f6969ba42bc5cd0eb87c20,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1920x1080,1920x937,,Informationsheet,3,No,BEGIN QUESTIONNAIRE,
2,1626773162090,20/07/2021 09:26:02,1626773162488,10,20/07/2021 19:26:02,56184,5,questionnaire-67qb,,14462682,5f4ee688c01262124346d834,4300408,,complete,,60f6969ba42bc5cd0eb87c20,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1920x1080,1903x937,,Informationsheet,3,No,END QUESTIONNAIRE,4360
1,1626773445445,20/07/2021 09:30:45,1626773449265,10,20/07/2021 19:30:49,56184,5,questionnaire-67qb,,14462764,60f6135cea85bf9f3e78dc60,4300429,,complete,,60f6979d5fd6f8dd879113ff,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1920x1080,1920x941,,Informationsheet,3,No,BEGIN QUESTIONNAIRE,
2,1626773637066,20/07/2021 09:33:57,1626773640869,10,20/07/2021 19:34:00,56184,5,questionnaire-67qb,,14462764,60f6135cea85bf9f3e78dc60,4300429,,complete,,60f6979d5fd6f8dd879113ff,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1920x1080,1903x941,,Informationsheet,3,No,END QUESTIONNAIRE,191604
1,1626774277900,20/07/2021 09:44:37,1626774275277,-4,20/07/2021 05:44:35,56184,5,questionnaire-67qb,,14463036,5fd841c5c0a46117f2d392d8,4300493,,complete,,60f69aef74ba5b860fb7c3df,computer,Desktop or Laptop,Windows 7,Chrome 91.0.4472.164,1366x768,1366x625,,Informationsheet,3,No,BEGIN QUESTIONNAIRE,
2,1626774311021,20/07/2021 09:45:11,1626774308434,-4,20/07/2021 05:45:08,56184,5,questionnaire-67qb,,14463036,5fd841c5c0a46117f2d392d8,4300493,,complete,,60f69aef74ba5b860fb7c3df,computer,Desktop or Laptop,Windows 7,Chrome 91.0.4472.164,1366x768,1350x625,,Informationsheet,3,No,END QUESTIONNAIRE,33157
1,1626774701783,20/07/2021 09:51:41,1626774701668,1,20/07/2021 10:51:41,56184,5,questionnaire-67qb,,14463175,60f1c4f0f3e180b295b31f51,4300537,,complete,,60f69c9df1678e5b93ad783c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.114,1440x900,1440x821,,Informationsheet,3,No,BEGIN QUESTIONNAIRE,
2,1626774717518,20/07/2021 09:51:57,1626774717431,1,20/07/2021 10:51:57,56184,5,questionnaire-67qb,,14463175,60f1c4f0f3e180b295b31f51,4300537,,complete,,60f69c9df1678e5b93ad783c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.114,1440x900,1425x821,,Informationsheet,3,No,END QUESTIONNAIRE,15763
1,1626775729095,20/07/2021 10:08:49,1626775730582,7,20/07/2021 17:08:50,56184,5,questionnaire-67qb,,14463706,60f599e8cdf7315352f28807,4300691,,complete,,60f6a09ff80ed38ca4be6400,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x625,,Informationsheet,3,No,BEGIN QUESTIONNAIRE,
2,1626775745981,20/07/2021 10:09:05,1626775747126,7,20/07/2021 17:09:07,56184,5,questionnaire-67qb,,14463706,60f599e8cdf7315352f28807,4300691,,complete,,60f6a09ff80ed38ca4be6400,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1349x625,,Informationsheet,3,No,END QUESTIONNAIRE,16544
1,1626775772572,20/07/2021 10:09:32,1626775772360,1,20/07/2021 11:09:32,56184,5,questionnaire-67qb,,14463736,5e348aac2c227f06b0d9f590,4300699,,complete,,60f6a0cd37dbfd036f3f52e4,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1368x731,,Informationsheet,3,No,BEGIN QUESTIONNAIRE,
2,1626775778402,20/07/2021 10:09:38,1626775778220,1,20/07/2021 11:09:38,56184,5,questionnaire-67qb,,14463736,5e348aac2c227f06b0d9f590,4300699,,complete,,60f6a0cd37dbfd036f3f52e4,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1368x731,,Informationsheet,3,No,END QUESTIONNAIRE,5860
1,1626775862611,20/07/2021 10:11:02,1626775862427,10,20/07/2021 20:11:02,56184,5,questionnaire-67qb,,14463770,60efa8a45372a44a1659dc3a,4300706,,complete,,60f6a127676dabc5c586df94,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1920x1080,1920x937,,Informationsheet,3,No,BEGIN QUESTIONNAIRE,
2,1626775872149,20/07/2021 10:11:12,1626775871979,10,20/07/2021 20:11:11,56184,5,questionnaire-67qb,,14463770,60efa8a45372a44a1659dc3a,4300706,,complete,,60f6a127676dabc5c586df94,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1920x1080,1903x937,,Informationsheet,3,No,END QUESTIONNAIRE,9552
1,1626776628145,20/07/2021 10:23:48,1626776615372,1,20/07/2021 11:23:35,56184,5,questionnaire-67qb,,14464164,60de11d08bb67fc2a1e19c6a,4300794,,complete,,60f6a426d4cfda2e514a61bd,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1536x864,1536x754,,Informationsheet,3,No,BEGIN QUESTIONNAIRE,
2,1626776667883,20/07/2021 10:24:27,1626776655171,1,20/07/2021 11:24:15,56184,5,questionnaire-67qb,,14464164,60de11d08bb67fc2a1e19c6a,4300794,,complete,,60f6a426d4cfda2e514a61bd,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1536x864,1519x754,,Informationsheet,3,No,END QUESTIONNAIRE,39801
1,1626777281396,20/07/2021 10:34:41,1626777280677,1,20/07/2021 11:34:40,56184,5,questionnaire-67qb,,14464463,6068aa0d235907f79872a401,4300874,,complete,,60f6a66575f9b3e129f4e23d,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1280x720,1280x595,,Informationsheet,3,No,BEGIN QUESTIONNAIRE,
2,1626777293256,20/07/2021 10:34:53,1626777292612,1,20/07/2021 11:34:52,56184,5,questionnaire-67qb,,14464463,6068aa0d235907f79872a401,4300874,,complete,,60f6a66575f9b3e129f4e23d,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1280x720,1263x595,,Informationsheet,3,No,END QUESTIONNAIRE,11935
1,1626777483605,20/07/2021 10:38:03,1626777483536,1,20/07/2021 11:38:03,56184,5,questionnaire-67qb,,14464582,60c3153ac79f51a58fb77826,4300900,,complete,,60f6a77e49707f66ba0d6d5b,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,2560x1440,2560x1297,,Informationsheet,3,No,BEGIN QUESTIONNAIRE,
2,1626777492551,20/07/2021 10:38:12,1626777492513,1,20/07/2021 11:38:12,56184,5,questionnaire-67qb,,14464582,60c3153ac79f51a58fb77826,4300900,,complete,,60f6a77e49707f66ba0d6d5b,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,2560x1440,2543x1297,,Informationsheet,3,No,END QUESTIONNAIRE,8977
1,1626777517665,20/07/2021 10:38:37,1626777516864,1,20/07/2021 11:38:36,56184,5,questionnaire-67qb,,14464604,5d351eb3ca8f5b0001834ca0,4300903,,complete,,60f6a7a70de845e578952fd3,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1536x864,1536x721,,Informationsheet,3,No,BEGIN QUESTIONNAIRE,
2,1626777524939,20/07/2021 10:38:44,1626777524170,1,20/07/2021 11:38:44,56184,5,questionnaire-67qb,,14464604,5d351eb3ca8f5b0001834ca0,4300903,,complete,,60f6a7a70de845e578952fd3,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1536x864,1519x721,,Informationsheet,3,No,END QUESTIONNAIRE,7306
1,1626777531711,20/07/2021 10:38:51,1626777531760,10,20/07/2021 20:38:51,56184,5,questionnaire-67qb,,14464610,60ee830fe4fdfd6f71be5290,4300904,,complete,,60f6a7ad77f0dba97c9c0f4a,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1920x1080,1858x995,,Informationsheet,3,No,BEGIN QUESTIONNAIRE,
2,1626777558619,20/07/2021 10:39:18,1626777558709,10,20/07/2021 20:39:18,56184,5,questionnaire-67qb,,14464610,60ee830fe4fdfd6f71be5290,4300904,,complete,,60f6a7ad77f0dba97c9c0f4a,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1920x1080,1841x995,,Informationsheet,3,No,END QUESTIONNAIRE,26950
