Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1619786539400,30/04/2021 12:42:19,1619786539714,1,30/04/2021 13:42:19,49173,3,questionnaire-92iv,,12314636,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1280x578,,Language questions,1,No,BEGIN QUESTIONNAIRE,
2,1619786692981,30/04/2021 12:44:52,1619786693267,1,30/04/2021 13:44:53,49173,3,questionnaire-92iv,,12314636,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1280x578,,Language questions,1,No,number of languages,2
3,1619786693072,30/04/2021 12:44:53,1619786693269,1,30/04/2021 13:44:53,49173,3,questionnaire-92iv,,12314636,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1280x578,,Language questions,1,No,number of languages-quantised,2
4,1619786693072,30/04/2021 12:44:53,1619786693270,1,30/04/2021 13:44:53,49173,3,questionnaire-92iv,,12314636,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1280x578,,Language questions,1,No,number of languages-text,
5,1619786693072,30/04/2021 12:44:53,1619786693270,1,30/04/2021 13:44:53,49173,3,questionnaire-92iv,,12314636,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1280x578,,Language questions,1,No,Fluency L1,5
6,1619786693072,30/04/2021 12:44:53,1619786693270,1,30/04/2021 13:44:53,49173,3,questionnaire-92iv,,12314636,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1280x578,,Language questions,1,No,Fluency L1-quantised,5
7,1619786693072,30/04/2021 12:44:53,1619786693271,1,30/04/2021 13:44:53,49173,3,questionnaire-92iv,,12314636,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1280x578,,Language questions,1,No,Fluency L2,5
8,1619786693072,30/04/2021 12:44:53,1619786693271,1,30/04/2021 13:44:53,49173,3,questionnaire-92iv,,12314636,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1280x578,,Language questions,1,No,Fluency L2-quantised,5
9,1619786693072,30/04/2021 12:44:53,1619786693272,1,30/04/2021 13:44:53,49173,3,questionnaire-92iv,,12314636,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1280x578,,Language questions,1,No,L3 fluency,
10,1619786693072,30/04/2021 12:44:53,1619786693272,1,30/04/2021 13:44:53,49173,3,questionnaire-92iv,,12314636,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1280x578,,Language questions,1,No,age bilingual,17
